code,index,name,page,year_code,year_foundation,prov,dist,prov_code,dist_code,enc_name,source,,lon,lat,jg_id,pop_1900,pop_year
GLC_RZS_TYCZ,6238Tyc,Tyczyn,1352,JF-14XX,1400,Galicia,Rzeszow,62,38,TYCZYN,Jews settled in the 15th cent,,49.96666667,22.03333333,-533767,999,1890
GLC_TRM_DLYN,6273Jnw,Janow,,JM-1628,1628,Galicia,Trembowla,62,73,JANOW (II),Jews are first mentioned in 1628,,49.21666667,25.71666667,-1038001,998,1880
PRU_PSN_CZRN,6105Czr,Czarnkow,284,JM-16XX,1600,Prussia,Posen,61,5,CZARNKOW,Jews are first mentioned in the 17th cent,,52.9,16.56666667,-498056,997,1871
GLC_TRK_NYZH,6245Wys,Wysocko Nizne,1470,POP-1921,1921,Galicia,Turka,62,45,WYSOCKO NIZNE,The Jewish pop. in 1921 was 141.,,49.03333333,23.01666667,-1047829,99,1890
GLC_ZLC_SKLV,6275Skl,Sokolowka,1214,JM-1629,1629,Galicia,Zloczow,62,75,SOKOLOWKA,Jews are mentioned from 1629,,50.03333333,24.85,-1054602,983,1880
GLC_ZLS_USTC,6261Ust,Ustechko,1363,CE-17XX,1700,Galicia,Zaleszczyki,62,61,USCIECZKO,A small community existed in the 18th cent,,48.76666667,25.6,-1057250,983,1880
PRU_PSN_NKLN,6105Nkl,Nakel nad Notecia,870,CM-15XX,1500,Prussia,Posen,61,5,NAKLO,A small Jewish community with a synagogue existed in the 16th cent,,53.15,17.6,-517826,982,1871
GLC_WLC_WLCZ,6218Wlc,Wieliczka,1442,JE-13XX,1300,Galicia,Wiznitz,62,18,WIELICZKA,Despite a ban on Jewish settlement lasting until 1867,,49.98333333,20.06666667,-534981,981,1900
PRU_PMM_PLNW,6104Wln,Wolanow,1457,JF-18EX,1800,Prussia,Pommern,61,4,WOLANOW,Jews first settled in the early 19th cent,,54.11666667,16.68333333,-522999,98,1871
BKV_WZN_BRHM,6306Brh,Berhomet am Siret,116,JF-1804,1804,Bukovina,Wiznitz,63,6,BERHOMET PE SIRET,Jews first settled in 1804,,48.18333333,25.33333333,-1035358,979,1930
