country,province,name,index,initial_jewish_settlement,formal_community_foundation,year,jewish_population,total_population
HOL,Zuid-Holland,GORINCHEM,1,17LX,1800,1911,212,
HOL,Zuid-Holland,GORINCHEM,1,17LX,1800,1940,85,
HOL,Zuid-Holland,HAGUE THE,2,16EX,16MX,1901,6000,
HOL,Zuid-Holland,HAGUE THE,2,16EX,16MX,1940,17379,
HOL,Zuid-Holland,ALPHEN AAN  DE  RIJN,3,17XX,,1940,70,
HOL,Zuid-Holland,ALPHEN AAN  DE  RIJN,3,17XX,,1941,70,
HOL,Zuid-Holland,BRIELLE,4,1756,,1883,126,
HOL,Zuid-Holland,BRIELLE,4,1756,,1941,29,
HOL,Zuid-Holland,DORDRECHT,5,16LX,17EX,1860,372,
HOL,Zuid-Holland,DORDRECHT,5,16LX,17EX,1938,300,
HOL,Zuid-Holland,STRIJEN,6,18XX,18XX,1901,52,
HOL,Zuid-Holland,STRIJEN,6,18XX,18XX,1941,16,
HOL,Zuid-Holland,ZUIDLAND,7,18LX,18LX,1890,60,
HOL,Zuid-Holland,DELFT,8,17LX,18XX,1860,167,
HOL,Zuid-Holland,DELFT,8,17LX,18XX,1941,200,
HOL,Zuid-Holland,GOUDA,9,17LX,18XX,1883,390,
HOL,Zuid-Holland,GOUDA,9,17LX,18XX,1941,521,
HOL,Zuid-Holland,LEIDEN,10,17EX,17EX,1896,461,
HOL,Zuid-Holland,LEIDEN,10,17EX,17EX,1941,375,
HOL,Zuid-Holland,MAASSLUIS,11,17XX,17XX,1892,116,
HOL,Zuid-Holland,MAASSLUIS,11,17XX,17XX,1941,19,
HOL,Zuid-Holland,MIDDELHARNIS,12,1800,1800,1892,102,
HOL,Zuid-Holland,MIDDELHARNIS,12,1800,1800,1941,42,
HOL,Zuid-Holland,OUD-BEIJERLAND,13,17MX,,1852,205,
HOL,Zuid-Holland,OUD-BEIJERLAND,13,17MX,,1941,30,
HOL,Zuid-Holland,ROTTERDAM,14,1647,1660,1797,2500,
HOL,Zuid-Holland,ROTTERDAM,14,1647,1660,1900,9490,
HOL,Zuid-Holland,ROTTERDAM,14,1647,1660,1938,10357,
HOL,Zuid-Holland,SLIEDRECHT,15,18XX,18XX,1901,52,
HOL,Zuid-Holland,SLIEDRECHT,15,18XX,18XX,1941,16,
HOL,Zuid-Holland,SCHOONHOVEN,16,17MX,,1860,108,
HOL,Zuid-Holland,SCHOONHOVEN,16,17MX,,1941,14,
HUN,Zichy estate,OROSZVAR,17,1725,1725,1848,460,
HUN,Zichy estate,OROSZVAR,17,1725,1725,1930,9,
UKR,Zhitomir,RAIGORODOK,18,17EX,,1897,946,
UKR,Zhitomir,BARASHI,19,1752,1752,1939,320,
UKR,Zhitomir,BAZAR,20,17LX,,1897,833,
UKR,Zhitomir,BERDICHEV,21,1593,,1765,1220,
UKR,Zhitomir,BERDICHEV,21,1593,,1897,41617,
UKR,Zhitomir,BERDICHEV,21,1593,,1939,23266,
UKR,Zhitomir,BOLSHIYE NEZGORTSI,22,,,1897,339,
UKR,Zhitomir,BOLSHIYE NEZGORTSI,22,,,1926,114,
UKR,Zhitomir,BRUSILOV,23,1622,,1787,523,
UKR,Zhitomir,BRUSILOV,23,1622,,1897,3575,
UKR,Zhitomir,BRUSILOV,23,1622,,1939,171,
UKR,Zhitomir,CHERNIAKHOV,24,1721,,1897,1774,
UKR,Zhitomir,CHERNIAKHOV,24,1721,,1926,437,
UKR,Zhitomir,CHERVONNOYE,25,17XX,,1897,711,
UKR,Zhitomir,CHERVONNOYE,25,17XX,,1939,411,
UKR,Zhitomir,CHOPOVICHI,26,,,1897,919,
UKR,Zhitomir,CHOPOVICHI,26,,,1926,1533,
UKR,Zhitomir,CHUDNOV,27,15LX,,1756,1283,
UKR,Zhitomir,CHUDNOV,27,15LX,,1897,4491,
UKR,Zhitomir,CHUDNOV,27,15LX,,1939,2506,
UKR,Zhitomir,DEDKOVITCHY,28,17LX,,1778,4,
UKR,Zhitomir,DEDKOVITCHY,28,17LX,,1897,276,
UKR,Zhitomir,DEDKOVITCHY,28,17LX,,1926,103,
UKR,Zhitomir,DEDKOVITCHY,28,17LX,,1939,206,
UKR,Zhitomir,DIDKOVICHI,29,,,1897,276,
UKR,Zhitomir,DIDKOVICHI,29,,,1926,103,
UKR,Zhitomir,DOVBISH,30,18LX,,1939,513,
UKR,Zhitomir,HORODNITSA,31,,,1850,427,
