country,province,city,year,field,value
HOL,Zuid-Holland,GORINCHEM,,initial_jewish_settlement,17LX
HOL,Zuid-Holland,GORINCHEM,,formal_community_foundation,1800
HOL,Zuid-Holland,GORINCHEM,1911,jewish_population,212
HOL,Zuid-Holland,GORINCHEM,1940,jewish_population,85
HOL,Zuid-Holland,GORINCHEM,,pre_deportation_population,85
HOL,Zuid-Holland,GORINCHEM,,date_of_deportation,
HOL,Zuid-Holland,GORINCHEM,,survived,15
HOL,Zuid-Holland,HAGUE THE,,initial_jewish_settlement,16EX
HOL,Zuid-Holland,HAGUE THE,,formal_community_foundation,16MX
HOL,Zuid-Holland,HAGUE THE,1901,jewish_population,6000
HOL,Zuid-Holland,HAGUE THE,1901,total_population,20000
HOL,Zuid-Holland,HAGUE THE,1940,jewish_population,17379
HOL,Zuid-Holland,HAGUE THE,1940,total_population,504262
HOL,Zuid-Holland,HAGUE THE,,date_of_deportation,
HOL,Zuid-Holland,HAGUE THE,,deported,15000
HOL,Zuid-Holland,HAGUE THE,,survived,2000
HOL,Zuid-Holland,HAGUE THE,1723,synagogues,TRUE
HOL,Zuid-Holland,HAGUE THE,1726,synagogues,TRUE
HOL,Zuid-Holland,HAGUE THE,1844,synagogues,TRUE
HOL,Zuid-Holland,HAGUE THE,1879,synagogues,TRUE
HOL,Zuid-Holland,HAGUE THE,1781,school,TRUE
HOL,Zuid-Holland,HAGUE THE,1920,school,TRUE
HOL,Zuid-Holland,HAGUE THE,1897,Branch Opened,Zionist Organization
HOL,Zuid-Holland,HAGUE THE,1897,Notable Figure Participation,Jacobus Kann
HOL,Zuid-Holland,HAGUE THE,1907,Congress Hosted,Eighth Zionist Congress
HOL,Zuid-Holland,HAGUE THE,1919-1921,JNF Headquarters,
HOL,Zuid-Holland,HAGUE THE,192X,Youth Groups Active,
HOL,Zuid-Holland,ALPHEN AAN  DE  RIJN,,initial_jewish_settlement,17XX
HOL,Zuid-Holland,ALPHEN AAN  DE  RIJN,,formal_community_foundation,
HOL,Zuid-Holland,ALPHEN AAN  DE  RIJN,1940,jewish_population,70
HOL,Zuid-Holland,ALPHEN AAN  DE  RIJN,1940,total_population,19471
HOL,Zuid-Holland,ALPHEN AAN  DE  RIJN,,pre_deportation_population,70
HOL,Zuid-Holland,ALPHEN AAN  DE  RIJN,,date_of_deportation,
HOL,Zuid-Holland,BRIELLE,,initial_jewish_settlement,1756
HOL,Zuid-Holland,BRIELLE,,formal_community_foundation,
HOL,Zuid-Holland,BRIELLE,1883,jewish_population,126
HOL,Zuid-Holland,BRIELLE,1941,jewish_population,29
HOL,Zuid-Holland,BRIELLE,1941,total_population,3389
HOL,Zuid-Holland,BRIELLE,,pre_deportation_population,29
HOL,Zuid-Holland,BRIELLE,,date_of_deportation,1943-XX-XX
HOL,Zuid-Holland,DORDRECHT,,initial_jewish_settlement,16LX
HOL,Zuid-Holland,DORDRECHT,,formal_community_foundation,17EX
HOL,Zuid-Holland,DORDRECHT,1860,jewish_population,372
HOL,Zuid-Holland,DORDRECHT,1938,jewish_population,300
HOL,Zuid-Holland,DORDRECHT,,pre_deportation_population,300
HOL,Zuid-Holland,DORDRECHT,,date_of_deportation,1942-08-XX
HOL,Zuid-Holland,DORDRECHT,,deported,290
HOL,Zuid-Holland,DORDRECHT,,survived,55
HOL,Zuid-Holland,DORDRECHT,1856,synagogues,TRUE
HOL,Zuid-Holland,DORDRECHT,1856,school,TRUE
HOL,Zuid-Holland,DORDRECHT,1856,community_center,TRUE
HOL,Zuid-Holland,STRIJEN,,initial_jewish_settlement,18XX
HOL,Zuid-Holland,STRIJEN,,formal_community_foundation,18XX
HOL,Zuid-Holland,STRIJEN,1901,jewish_population,52
HOL,Zuid-Holland,STRIJEN,1941,jewish_population,16
HOL,Zuid-Holland,STRIJEN,1941,total_population,4819
HOL,Zuid-Holland,STRIJEN,,pre_deportation_population,16
HOL,Zuid-Holland,STRIJEN,,date_of_deportation,
HOL,Zuid-Holland,STRIJEN,,deported,15
HOL,Zuid-Holland,STRIJEN,,perished,15
HOL,Zuid-Holland,ZUIDLAND,,initial_jewish_settlement,18LX
HOL,Zuid-Holland,ZUIDLAND,,formal_community_foundation,18LX
HOL,Zuid-Holland,ZUIDLAND,1890,jewish_population,60
HOL,Zuid-Holland,ZUIDLAND,,date_of_deportation,1942-10-00
HOL,Zuid-Holland,ZUIDLAND,,deported,9
HOL,Zuid-Holland,ZUIDLAND,,perished,9
HOL,Zuid-Holland,DELFT,,initial_jewish_settlement,17LX
HOL,Zuid-Holland,DELFT,,formal_community_foundation,18XX
HOL,Zuid-Holland,DELFT,1860,jewish_population,167
HOL,Zuid-Holland,DELFT,1941,jewish_population,200
HOL,Zuid-Holland,DELFT,1941,total_population,55637
HOL,Zuid-Holland,DELFT,,pre_deportation_population,200
HOL,Zuid-Holland,DELFT,,date_of_deportation,
HOL,Zuid-Holland,DELFT,,survived,12
HOL,Zuid-Holland,GOUDA,,initial_jewish_settlement,17LX
HOL,Zuid-Holland,GOUDA,,formal_community_foundation,18XX
HOL,Zuid-Holland,GOUDA,1883,jewish_population,390
HOL,Zuid-Holland,GOUDA,1941,jewish_population,521
HOL,Zuid-Holland,GOUDA,1941,total_population,34311
HOL,Zuid-Holland,GOUDA,,pre_deportation_population,521
HOL,Zuid-Holland,GOUDA,,date_of_deportation,1942-08-00
HOL,Zuid-Holland,GOUDA,,survived,40
HOL,Zuid-Holland,LEIDEN,,initial_jewish_settlement,17EX
HOL,Zuid-Holland,LEIDEN,,formal_community_foundation,17EX
HOL,Zuid-Holland,LEIDEN,1896,jewish_population,461
HOL,Zuid-Holland,LEIDEN,1896,total_population,53368
HOL,Zuid-Holland,LEIDEN,1941,jewish_population,375
HOL,Zuid-Holland,LEIDEN,,pre_deportation_population,375
HOL,Zuid-Holland,LEIDEN,,date_of_deportation,1943-03-00
HOL,Zuid-Holland,LEIDEN,,survived,113
HOL,Zuid-Holland,LEIDEN,1807,synagogues,TRUE
HOL,Zuid-Holland,LEIDEN,1807,school,TRUE
HOL,Zuid-Holland,LEIDEN,1903,Zionist movement,
HOL,Zuid-Holland,MAASSLUIS,,initial_jewish_settlement,17XX
HOL,Zuid-Holland,MAASSLUIS,,formal_community_foundation,17XX
HOL,Zuid-Holland,MAASSLUIS,1892,jewish_population,116
HOL,Zuid-Holland,MAASSLUIS,1941,jewish_population,19
HOL,Zuid-Holland,MAASSLUIS,1941,total_population,9210
HOL,Zuid-Holland,MAASSLUIS,,pre_deportation_population,19
HOL,Zuid-Holland,MAASSLUIS,,date_of_deportation,
HOL,Zuid-Holland,MAASSLUIS,,deported,5
HOL,Zuid-Holland,MAASSLUIS,,perished,5
HOL,Zuid-Holland,MAASSLUIS,,formal_community_foundation,
HOL,Zuid-Holland,MIDDELHARNIS,,initial_jewish_settlement,1800
HOL,Zuid-Holland,MIDDELHARNIS,,formal_community_foundation,1800
HOL,Zuid-Holland,MIDDELHARNIS,1892,jewish_population,102
HOL,Zuid-Holland,MIDDELHARNIS,1941,jewish_population,42
HOL,Zuid-Holland,MIDDELHARNIS,1941,total_population,4780
