line,locality,district,juridiction_dicstrict,type,page,serial_no,area_hectares,population_male,population_female,population_total,religion_catholic,religion_greek,religion_jewish,religion_other,c1,c2,village,belong,sum_type,vide,wrong_sum,,,
1,"Lemberg, Lwów",Borszczów,Oświęcim,Ortsgemeinden,11,1,3200,80420,79457,159877,82597,29327,44258,3695,,,0,,,,0,,11.0382779,לא מסתכם
2,I. Halickie,Borszczów,Oświęcim,Ortsgemeinden,11,,,16333,19072,35405,25977,6685,1914,829,,,0,,,,0,,,
3,II. Krakowskie,Borszczów,Oświęcim,Ortsgemeinden,11,,,26948,29268,56216,24764,8617,21733,1102,,,0,,,,0,,,
4,III. Żółkiewskie,Borszczów,Oświęcim,Ortsgemeinden,11,,,10960,12143,23103,6937,2849,13185,132,,,0,,,,0,,,
5,IV. Łyczakowskie,Borszczów,Oświęcim,Ortsgemeinden,11,,,9599,11794,21393,15559,4344,1044,446,,,0,,,,0,,,
6,V. Śródmieście,Borszczów,Oświęcim,Ortsgemeinden,11,,,6254,7180,13434,5286,2283,5536,329,,,0,,,,0,,,
7,dazu Militär,Borszczów,Oświęcim,Ortsgemeinden,11,,,10326,,10326,4074,4549,846,857,,,0,,,,0,,,
8,"Krakau, Kraków",Borszczów,Oświęcim,Ortsgemeinden,13,2,832,44973,46350,91323,64209,727,25670,717,,,0,,,,0,,,
9,I. Śródmieście,Borszczów,Oświęcim,Ortsgemeinden,13,,,8029,8720,16749,14918,90,1598,143,,,0,,,,0,,,
10,II. Wawel,Borszczów,Oświęcim,Ortsgemeinden,13,,,51,27,78,63,,4,4,,,0,,,,1,,,
11,III. Nowy Świat,Borszczów,Oświęcim,Ortsgemeinden,13,,,2295,2915,5210,4878,41,236,55,,,0,,,,0,,,
12,IV. Piasek,Borszczów,Oświęcim,Ortsgemeinden,13,,,4260,5819,10079,9815,62,123,79,,,0,,,,0,,,
13,V. Kleparz,Borszczów,Oświęcim,Ortsgemeinden,13,,,4415,5576,9991,9372,102,461,56,,,0,,,,0,,,
14,VI. Wesoła,Borszczów,Oświęcim,Ortsgemeinden,13,,,6485,7962,14447,12151,187,2004,105,,,0,,,,0,,,
15,VII. Stradom,Borszczów,Oświęcim,Ortsgemeinden,13,,,2008,2402,4410,1541,12,2844,13,,,0,,,,0,,,
16,VIII. Kazimierz,Borszczów,Oświęcim,Ortsgemeinden,13,,,11381,12929,24310,6113,18,18160,19,,,0,,,,0,,,
17,dazu Militär,Borszczów,Oświęcim,Ortsgemeinden,13,,,6049,,6049,5358,208,240,243,,,0,,,,0,,,
18,Oświęcim,Borszczów,Oświęcim,Ortsgemeinden,15,1,444,3247,3594,6841,3029,19,3779,14,,,0,,,,0,,,
19,Babice,Borszczów,Oświęcim,Ortsgemeinden,15,2,618,692,717,1409,1343,7,59,,,,0,,,,0,,,
20,Broszkowice,Borszczów,Oświęcim,Ortsgemeinden,15,3,108,156,173,329,329,,,,,,1,,,,0,,,
21,Brzeszcze,Borszczów,Oświęcim,Ortsgemeinden,15,4,1766,672,730,1402,1391,1,4,6,,,0,,,,0,,,
22,Brzezinka,Borszczów,Oświęcim,Ortsgemeinden,15,5,691,988,1005,1993,1885,15,86,57,,,0,,,,1,,,
23,Dwory,Borszczów,Oświęcim,Ortsgemeinden,15,6,667,797,905,1702,1698,,,,,,0,,,,1,,,
24,Dwory,Borszczów,Oświęcim,Ortsgemeinden,15,1,681,763,1444,1440,,4,,,,,1,,,,1,,,
25,Mochnate,Borszczów,Oświęcim,Ortsgemeinden,15,2,116,142,258,258,,,,,,,1,,,,1,,,
26,Grojec,Borszczów,Oświęcim,Ortsgemeinden,15,7,687,474,503,977,977,,,,,,0,,,,0,,,
27,Harmęże,Borszczów,Oświęcim,Ortsgemeinden,15,8,206,132,145,277,277,,,,,,1,,,,0,,,
28,Jawiszowice,Borszczów,Oświęcim,Ortsgemeinden,15,9,1645,635,733,1368,1343,1,18,6,,,1,,,vide 1,0,,,
29,Klucznikowice,Borszczów,Oświęcim,Ortsgemeinden,15,10,1,192,186,378,232,,146,,,,1,,,vide 6,0,,,
30,Kruki,Borszczów,Oświęcim,Ortsgemeinden,15,11,6,67,52,119,112,,7,,,,1,,,,0,,,
31,Łazy,Borszczów,Oświęcim,Ortsgemeinden,15,12,96,84,77,161,161,,,,,,1,,,,0,,,
32,Monowice,Borszczów,Oświęcim,Ortsgemeinden,15,13,641,508,562,1070,1060,,10,,,,0,,,,0,,,
33,Pławy,Borszczów,Oświęcim,Ortsgemeinden,15,14,148,105,118,223,223,,,,,,1,,,,0,,,
34,Polanka Wielka,Borszczów,Oświęcim,Ortsgemeinden,15,15,1780,840,923,1763,1763,,,,,,1,,,,0,,,
35,Poręba Wielka,Borszczów,Oświęcim,Ortsgemeinden,15,16,524,353,379,732,723,,9,,,,0,,,,0,,,
36,Przecieszyn,Borszczów,Oświęcim,Ortsgemeinden,15,17,321,111,148,259,259,,,,,,1,,,,0,,,
37,Rajsko,Borszczów,Oświęcim,Ortsgemeinden,15,18,332,297,319,616,611,,5,,,,0,,,,0,,,
38,Budy,Borszczów,Oświęcim,Ortsgemeinden,15,1,,25,25,50,48,,2,,,,0,,,,0,,,
39,Rajsko,Borszczów,Oświęcim,Ortsgemeinden,15,2,,272,294,566,563,,3,,,,1,,,,0,,,
40,Skidzin,Borszczów,Oświęcim,Ortsgemeinden,15,19,448,135,143,278,276,,2,,,,0,,,,0,,,
41,Stawy Stare,Borszczów,Oświęcim,Ortsgemeinden,15,20,301,196,219,415,412,,3,,,,0,,,,0,,,
42,Wilczkowice,Borszczów,Oświęcim,Ortsgemeinden,15,21,124,64,66,130,130,,,,,,1,,,,0,,,
43,Włosienica,Borszczów,Oświęcim,Ortsgemeinden,15,22,413,302,348,650,644,,6,,,,0,,,,0,,,
44,Zaborze,Borszczów,Oświęcim,Ortsgemeinden,15,23,154,123,135,258,250,,8,,,,1,,sum_ortsgemeinden,,0,,,
45,Summe der Ortsgemeinden,Borszczów,Oświęcim,Ortsgemeinden,15,,12114,11170,12180,23350,19078,43,4146,83,,,0,,,,0,,,
46,Babice,Borszczów,Oświęcim,Gutsgebiete,15,1,114,6,3,9,9,,,,,,0,ad 2,,,0,,,
47,Broszkowice,Borszczów,Oświęcim,Gutsgebiete,15,2,10,,,,,,,,,,0,ad 3,,,,,,
48,Brzezinka,Borszczów,Oświęcim,Gutsgebiete,15,3,170,42,37,79,67,1,6,5,,,0,ad 5,,,0,,,
49,Dwory,Borszczów,Oświęcim,Gutsgebiete,15,4,364,25,41,66,66,,,,,,0,ad 6,,,0,,,
50,Grojec,Borszczów,Oświęcim,Gutsgebiete,15,5,921,81,83,164,153,,5,6,,,0,ad 7,,,0,,,
51,Harmęże,Borszczów,Oświęcim,Gutsgebiete,15,6,243,5,4,9,4,,5,,,,0,ad 8,,,0,,,
52,Klucznikowice,Borszczów,Oświęcim,Gutsgebiete,15,7,458,3,3,6,6,,,,,,0,ad 10,,,0,,,
53,Łazy,Borszczów,Oświęcim,Gutsgebiete,15,8,126,10,13,23,19,,4,,,,0,ad 12,,,0,,,
54,Monowice,Borszczów,Oświęcim,Gutsgebiete,15,9,441,5,9,14,7,,7,,,,0,ad 13,,,0,,,
55,Pławy,Borszczów,Oświęcim,Gutsgebiete,17,10,122,6,6,12,12,,,,,,0,ad 14,,,0,,,
