line,page,hb,gb,name,school,sanitaty,isr,grk,rk,parish_dist
2,827,Biala,Auschwitz,Babice,Babice,,Auschwitz,,,rk.|isr. Auschwitz
3,827,Biala,Auschwitz,Broszkowice,Broszkowice,,Auschwitz,,,rk.|isr. Auschwitz
4,827,Biala,Auschwitz,Brzeszcze,Brzeszcze,,Auschwitz,," Brzeszcze,Auschwitz","rk. Brzeszcze,Auschwitz|isr. Auschwitz"
5,827,Biala,Auschwitz,Brzezinka,Brzezinka,,Auschwitz,,,rk.|isr. Auschwitz
6,827,Biala,Auschwitz,Dwory,Dwory,,Auschwitz,," Auschwitz,Włosienica","rk. Auschwitz,Włosienica|isr. Auschwitz"
7,827,Biala,Auschwitz,Grojec,Grojec,,Auschwitz,,Grojec,rk. Grojec|isr. Auschwitz
8,827,Biala,Auschwitz,Harmęże,,,Auschwitz,,,rk.|isr. Auschwitz
9,827,Biala,Auschwitz,Jawiszowice,Jawiszowice,,Auschwitz,,Jawiszowice,rk. Jawiszowice|isr. Auschwitz
10,827,Biala,Auschwitz,Klucznikowice,,,Auschwitz,,,rk.|isr. Auschwitz
11,827,Biala,Auschwitz,Kruki,,,Auschwitz,,,rk.|isr. Auschwitz
12,827,Biala,Auschwitz,Łazy,Grojec,,Auschwitz,,Grojee,rk. Grojee|isr. Auschwitz
13,827,Biala,Auschwitz,Monowice,Monowice,,Auschwitz,,Włosienica,rk. Włosienica|isr. Auschwitz
14,827,Biala,Auschwitz,Pławy,,,Auschwitz,,,rk.|isr. Auschwitz
15,827,Biala,Auschwitz,Polanka Wielka,Polanka Wielka,,Auschwitz,,Polanka Wielka,rk. Polanka Wielka|isr. Auschwitz
16,827,Biala,Auschwitz,Poręba Wielka,Poręba Wielka,,Auschwitz,,Poręba Wielka,rk. Poręba Wielka|isr. Auschwitz
17,827,Biala,Auschwitz,Przecieszyn,,,Auschwitz,,,rk.|isr. Auschwitz
18,827,Biala,Auschwitz,Rajsko,Rajsko,,Auschwitz,,,rk.|isr. Auschwitz
19,827,Biala,Auschwitz,Skidzin,,,Auschwitz,,,rk.|isr. Auschwitz
20,827,Biala,Auschwitz,Stawy Stare,,,Auschwitz,,,rk.|isr. Auschwitz
21,827,Biala,Auschwitz,Wilczkowice,,,Auschwitz,,,rk.|isr. Auschwitz
22,827,Biala,Auschwitz,Włosienica,Włosienica,,Auschwitz,,Włosienica,rk. Włosienica|isr. Auschwitz
23,827,Biala,Auschwitz,Zaborze,,,Auschwitz,,Grojec,rk. Grojec|isr. Auschwitz
24,827,Biala,Biala,Bestwina,Bestwina,,Lipnik,,Bestwina,rk. Bestwina|isr. Lipnik
25,827,Biala,Biala,Bestwinka,Bestwina,,Auschwitz,,Bestwina,rk. Bestwina|isr. Auschwitz
26,827,Biala,Biala,Biala,Biala: 5,,Lipnik,,Biała,rk. Biała|isr. Lipnik
27,827,Biala,Biala,Bör Łodygowski,,,Lipnik,,Łodygowice (BH: Saybusch),rk. Łodygowice (BH: Saybusch)|isr. Lipnik
28,827,Biala,Biala,Bór Wilkowski,,,Lipnik,,Wilkowice,rk. Wilkowice|isr. Lipnik
29,827,Biala,Biala,Buczkowice,Buczkowice,,Lipnik,,Łodygowice (BH: Saybusch),rk. Łodygowice (BH: Saybusch)|isr. Lipnik
30,827,Biala,Biala,Bystra,Bystra,,Lipnik,,Wilkowice.,rk. Wilkowice.|isr. Lipnik
31,827,Biala,Biala,Dankowice,Dankowice,,Auschwitz,,Dankowice,rk. Dankowice|isr. Auschwitz
32,827,Biala,Biala,Godziska Nowa,Godziska Wilkowska,,Lipnik,,Łodygowice (BH: Saybusch),rk. Łodygowice (BH: Saybusch)|isr. Lipnik
33,827,Biala,Biala,Godziska Stara,Godziska Wilkowska,,Lipnik,,Łodygowice (BH: Saybusch),rk. Łodygowice (BH: Saybusch)|isr. Lipnik
34,827,Biala,Biala,Godziska Wilkowska,Godziska Wilkowska,,Lipnik,,Łodygowice (BH: Saybusch),rk. Łodygowice (BH: Saybusch)|isr. Lipnik
35,827,Biala,Biala,Hałenów,Halenów,,Lipnik,,Hałenów,rk. Hałenów|isr. Lipnik
36,827,Biala,Biala,Hucisko,,,Lipnik,,Łodygowice (BH: Saybusch),rk. Łodygowice (BH: Saybusch)|isr. Lipnik
37,827,Biala,Biala,Janowice,Janowice,,Lipnik,,Bestwina,rk. Bestwina|isr. Lipnik
38,827,Biala,Biala,Kalna,Kalna,,Lipnik,,Łodygowice (BH: Saybusch),rk. Łodygowice (BH: Saybusch)|isr. Lipnik
39,827,Biala,Biala,Kaniów Stary,Kaniów Stary,,Auschwitz,,Kaniów Stary,rk. Kaniów Stary|isr. Auschwitz
40,827,Biala,Biala,Komorowice,Komorowice,,Lipnik,,Komorowice,rk. Komorowice|isr. Lipnik
41,827,Biala,Biala,Kozy,Kozy,,Lipnik,,Kozy,rk. Kozy|isr. Lipnik
42,827,Biala,Biala,Lipnik,Lipnik: 4,,Lipnik,,,rk.|isr. Lipnik
43,827,Biala,Biala,Meszna,Meszna,,Lipnik,,Wilkowice,rk. Wilkowice|isr. Lipnik
