Column1,name,dist,year,jewish_pop,total_pop,name_heb,dist_heb
1485,Mikołajów,Żydaczów,1931,559,2000000,מיקולאיוב,ז'ידאצ'וב
577,Kraków,Napt Krakow,1960,123,477000,קראקוב,נפת קראקוב
576,Kraków,Napt Krakow,1946,123,299000,קראקוב,נפת קראקוב
575,Kraków,Napt Krakow,1939,123,259000,קראקוב,נפת קראקוב
574,Kraków,Napt Krakow,1931,55515,215963,קראקוב,נפת קראקוב
573,Kraków,Napt Krakow,1921,45229,183706,קראקוב,נפת קראקוב
572,Kraków,Napt Krakow,1910,32321,151686,קראקוב,נפת קראקוב
785,Chorzów,Katowice,1931,2811,101977,חוז'וב,נפת קאטוביצה
571,Kraków,Napt Krakow,1900,25670,91323,קראקוב,נפת קראקוב
570,Kraków,Napt Krakow,1890,20939,74593,קראקוב,נפת קראקוב
784,Chorzów,Katowice,1910,901,72641,חוז'וב,נפת קאטוביצה
1582,Stanisławów,Stanisławów,1931,24823,72350,סטאניסלאבוב,נפת סטאניסלאבוב
569,Kraków,Napt Krakow,1880,20269,66095,קראקוב,נפת קראקוב
783,Chorzów,Katowice,1900,925,57919,חוז'וב,נפת קאטוביצה
448,Kalisz,,1931,15300,55300,קאליש,נפת קאליש
398,Piotrków Trybunalski,Piotrków,1931,11400,51294,פיוטרקוב טריבונאלסקי,פיעטריקאוו
447,Kalisz,,1921,15566,44613,קאליש,נפת קאליש
1045,Borysław,Drohobych district,1931,11996,41496,בוריסלאב,נפת דרוהוביץ'
397,Piotrków Trybunalski,Piotrków,1921,11630,40992,פיוטרקוב טריבונאלסקי,פיעטריקאוו
399,Piotrków Trybunalski,Piotrków,1939,10240,40992,פיוטרקוב טריבונאלסקי,פיעטריקאוו
446,Kalisz,,1908,14318,39518,קאליש,נפת קאליש
231,Tomaszów Mazowiecki,Powiat Tomaszów Mazowiecki,1931,11310,38088,טומאשוב מאזובייצקי,נפת טומאשוב מאזובייצקי
372,Pabianice,Lask,1931,8357,37000,פאביאניצה,לאסק
797,Tarnów,,1910,15108,36731,טארנוּב,נפת טארנוב
782,Chorzów,Katowice,1890,830,36502,חוז'וב,נפת קאטוביצה
1619,Stryj,Stryi,1921,10980,35942,סטריא,נפת סטרי
1318,Tarnopol,Tarnopol,1931,13999,35644,טארנופול,נפת טארנופול
798,Tarnów,,1921,15608,35347,טארנוּב,נפת טארנוב
1176,Drohobycz,Drohobycz,1910,15313,34665,דרוהוביץ,דרוהוביץ
1316,Tarnopol,Tarnopol,1910,13997,33871,טארנופול,נפת טארנופול
1580,Stanisławów,Stanisławów,1910,15253,33280,סטאניסלאבוב,נפת סטאניסלאבוב
793,Tarnów,,1846,1914,31691,טארנוּב,נפת טארנוב
796,Tarnów,,1900,12586,31691,טארנוּב,נפת טארנוב
568,Kraków,Napt Krakow,1824,9690,31501,קראקוב,נפת קראקוב
1044,Borysław,Drohobych district,1921,10149,31166,בוריסלאב,נפת דרוהוביץ'
1618,Stryj,Stryi,1910,10718,30942,סטריא,נפת סטרי
1317,Tarnopol,Tarnopol,1921,13768,30891,טארנופול,נפת טארנופול
1315,Tarnopol,Tarnopol,1900,13493,30415,טארנופול,נפת טארנופול
1579,Stanisławów,Stanisławów,1900,14106,30410,סטאניסלאבוב,נפת סטאניסלאבוב
371,Pabianice,Lask,1921,7230,29666,פאביאניצה,לאסק
396,Piotrków Trybunalski,Piotrków,1897,9370,28793,פיוטרקוב טריבונאלסקי,פיעטריקאוו
230,Tomaszów Mazowiecki,Powiat Tomaszów Mazowiecki,1921,10070,28285,טומאשוב מאזובייצקי,נפת טומאשוב מאזובייצקי
1581,Stanisławów,Stanisławów,1921,15860,28204,סטאניסלאבוב,נפת סטאניסלאבוב
792,Tarnów,,1820,1640,27574,טארנוּב,נפת טארנוב
795,Tarnów,,1890,11677,27574,טארנוּב,נפת טארנוב
781,Chorzów,Katowice,1880,1020,27522,חוז'וב,נפת קאטוביצה
1314,Tarnopol,Tarnopol,1890,13842,27405,טארנופול,נפת טארנופול
780,Rzeszów,,1931,11228,26902,ז'שוב,ריישא
370,Pabianice,Lask,1897,5017,26764,פאביאניצה,לאסק
