Location,dist,region,country,North,East,Alternative Name,county1900
Szwarowy Fw., Rypin, Kujawsko-Pomorskie, Poland,530154,192240,Szwarowy Fw.,Congress Poland
Ksenjewka (Ksenyevka), Isilkul, Omsk, Russia,583900,313027,Ксенофонтово,Russia
Brodki (Brodki/Brodky), Yavoriv, Lviv, Ukraine,49354,240047,Galicia,Austrian Empire
Abertham (Abertamy), Karlovy Vary, Karlovarsky, Czech Republic,502208,124906,Abertamy,Austrian Empire
Adamsdorf (Adamov), Ceske Budejovice, Jihocesky, Czech Republic,490002,143222,Adamov,Austrian Empire
Adelsdorf (Adolfovice), Jesenik, Olomoucky, Czech Republic,501158,171134,Adolfovice,Austrian Empire
Adler-Kosteletz (Kostelec nad Orlici), Rychov nad Kneznou, Kralovehradecky, Czech Republic,500722,161248,Kostelec nad Orlicí,Austrian Empire
Aich (Doubi), Karlovy Vary, Karlovarsky, Czech Republic,501238,124931,Doubí,Austrian Empire
Albrechtitz (Albrechtice nad Orlici), Rychov nad Kneznou, Kralovehradecky, Czech Republic,500823,160352,Albrechtice nad Orlicí,Austrian Empire
Albrechtitz (Albrechtice nad Vltavou), Pisek, Jihocesky, Czech Republic,491512,141810,Albrechtice nad Vltavou,Austrian Empire
Albrechtsdorf (Albrechtice v Jizerskych Horach), Jablonec nad Nisou, Liberecky, Czech Republic,504546,151628,Albrechtice v Jizerských horách,Austrian Empire
Alt Ehrenberg (Stare Krecany), Decin, Ustecky, Czech Republic,505704,142954,Stare Krecany,Austrian Empire
Alt Habendorf (Straz nad Nisou), Liberec, Liberecky, Czech Republic,504728,150137,Stráž nad Nisou,Austrian Empire
Alt Harzdorf (Stary Harcov), Liberec, Liberecky, Czech Republic,504600,150600,Starý Harcov,Austrian Empire
Alt Kestran (Kestrany), Pisek, Jihocesky, Czech Republic,491609,140421,Kestrany,Austrian Empire
Alt Kolin (Stary Kolin), Kolín, Stredocesky, Czech Republic,500035,151738,Starý Kolín,Austrian Empire
Alt Paulsdorf (Stare Pavlovice), Liberec, Liberecky, Czech Republic,504716,150244,Staré Pavlovice,Austrian Empire
Alt Rohlau (Stara Role), Karlovy Vary, Karlovarsky, Czech Republic,501441,124957,Stará Role,Austrian Empire
Alt Tabor (Sezimovo Usti), Tabor, Jihocesky, Czech Republic,492307,144105,Sezimovo Ústí,Austrian Empire
Alt Vogelseifen (Stára Rudná), Bruntal, Moravskoslezsky, Czech Republic,500135,172318,Stára Rudná,Austrian Empire
Alt-Biela (Stara Bela), Ostrava-mesto, Moravskoslezsky, Czech Republic,494541,181417,Stara Bela,Austrian Empire
Altenbuch (Stare Buky), Trutnov, Kralovehradecky, Czech Republic,503155,155133,Staré Buky,Austrian Empire
Altendorf (Stara Ves nad Ondrejnici), Ostrava-mesto, Moravskoslezsky, Czech Republic,494340,181119,Stara Ves nad Ondrejnici,Austrian Empire
Altendorf (Stara Ves), Ostrava-mesto, Moravskoslezsky, Czech Republic,494315,181207,Stará Ves,Austrian Empire
Altendorf (Stara Ves), Prerov, Olomoucky, Czech Republic,492250,172930,Stará Ves,Austrian Empire
Alt-Georgswalde (Stary Jirikov), Decin, Ustecky, Czech Republic,505951,143403,Stary Jirikov,Austrian Empire
Althart (Stare Hobzi), Jindrichuv Hradec, Jihocesky, Czech Republic,490036,152712,Staré Hobzí,Austrian Empire
Alt-Karlsthal (Karlovice), Bruntal, Moravskoslezsky, Czech Republic,500620,172545,Karlovice,Austrian Empire
Altpaka (Stara Paka), Jicin, Kralovehradecky, Czech Republic,503037,152940,Stará Paka,Austrian Empire
Alt-Plesna (Plesna), Ostrava-mesto, Moravskoslezsky, Czech Republic,495148,180852,Plesná,Austrian Empire
Alt-Rothwasser (Stara Cervena Voda), Jesenik, Olomoucky, Czech Republic,501946,171204,Stara Cervena Voda,Austrian Empire
Altsattl (Stare Sedlo), Sokolov, Karlovarsky, Czech Republic,501055,124312,Staré Sedlo,Austrian Empire
Altstadt (Stare Mesto nad Metuji), Nachod, Kralovehradecky, Czech Republic,502354,160927,Stare Mesto nad Metuji,Austrian Empire
