name,first_jewish_presence,peak_jewish_population,jewish_population_in_1933,content,author__sources,url,sid
Adelebsen,1675,192 in 1861,32,"Although individual Jewish merchants settled in the area with ducal permission before the nineteenth century, it was only in the early 1800s that enough Jews lived in Adelebsen to warrant the establishment of a prayer hall (located in a private home). In 1836, the community built a synagogue with 100 seats (50 for men, 50 for women), schoolrooms and living quarters for a teacher, who also functioned as chazzan and shochet. Adelebsen Jews, initially cattle dealers and dry goods merchants, eventually branched out into other industries and trades; the town was home to a Jewish-owned weaving mill, veterinary clinic and, for a short period, a Jewish doctor. The community also maintained several Jewish organizations, e.g., a charity association (founded in 1850), a chevra kadisha (founded in 1889) and a male choir. The cemetery was vandalized in 1929. Later, in response to the anti-Jewish boycott of 1933, many Jews left Adelebsen. In the spring of 1938, two SA officers were indicted and fined, giving the remaining Jews a false sense of security, for the synagogue was destroyed on Pogrom Night (November 1938) by SS officials from Goettingen; Jewish householders were arrested and abused that night. Adelebsen’s few remaining Jews were deported in 1942. A selection of ritual objects belonging to members of the Adelebsen community is on display in the Goettingen Jewish community house.","Harold Slutzkin Sources: EJL, JGNB, LJG",http://germansynagogues.com/index.php/synagogues-and-communities?sid=80,80
Aach,15th century,86 in 1850,38,"Local Jews conducted services in a prayer hall, which was shared with the Jews of nearby Butzweiler and Welschbillig, until 1860, when the community inaugurated a synagogue at 2 Neweler Strasse. Consecrated in 1600, the cemetery was enlarged in 1930. Exterior of the synagogue of Aachen in or around the year 1900. Courtesy of: City Archive of Aachen. Beginning in the 19th century, the community employed a series of Jewish teachers; later, it was decided that the teacher, who also served as chazzan and shochet, would focus exclusively on religious instruction. On Pogrom Night, rioters destroyed the synagogue’s interior and threw out the Torah scrolls. Jewish homes were heavily damaged, and foodstuffs were thrown out of a Jewish- owned inn. In 1942, the synagogue was forcibly sold to the municipality, after which the building was used as an army stable and, later, as a prison. By 1938, five of the remaining eight Jewish families had immigrated to the United States. Aach’s last 12 Jews were deported to the East in the transports of October 1941, April 1942, July 1942 and March 1943. At least 37 Aach Jews and 10 from Welschbillig perished in the Shoah. The synagogue, sold yet again in 1954, was converted into a residential building two years later. In 1996, however, the building was renovated and declared a public monument, to which a commemorative plaque was affixed in 1998. The restored cemetery also houses a memorial.","Nurit Borut; Sources: AJ, EJL, SLTS",http://germansynagogues.com/index.php/synagogues-and-communities?sid=75,75
Aachen,8th century,"1,665 in 1905","1,348","The earliest available record of a Jewish presence in Aachen is from the 8th century, but it was not until the mid-13th century, by which point all Jews had been restricted to living in the town’s Judengasse, that records once again mention Jewish life in Aachen. In or around 1800, when the town was under French rule, local Jews attained civil rights. ￼Members of the modern community conducted services in a prayer room until the establishment, in 1839, of a synagogue, community center and school on Hirschgraben; and, in 1862, of a new, impressive house of worship at 21 Promenadenstrasse (present-day 23 Synagogenplatz). Other communal institutions included a Jewish school (established in 1826) and a cemetery, the latter of which was consecrated on Luetticher Strasse in 1822 and enlarged in 1865 and 1878. (Prior to 1822, burials were conducted in Dueren.) David Rothschild, who served this Liberal congregation between 1850 and 1859, was the community’s first full-time rabbi. Rabbi Theodor Julius held this post between 1876 and 1925. In 1933, Aachen was home to 1,348 Jews. One hundred and four schoolchildren received religious instruction at religious and secondary schools. Around this time, the community maintained a Jewish elementary school (Juedische Volksschule). Numerous welfare associations and foundations provided assistance to children, juveniles, women, the elderly and the poor. Because the National Socialists gained a foothold in Aachen prior to 1933, Jews there were discriminated against before the Nazis’ election victories. Beginning in March 1933, a series of anti-Jewish legislation—dismissing Jews from their jobs, banning them from certain occupations—were put in place. On April 1, 1933, one day after SA men had threatened Jewish shop owners and their customers, the boycott of Jewish businesses was implemented. The persecution intensified in 1935, as a result of which many local Jews immigrated to the Netherlands, Palestine and other countries. On Pogrom Night, the synagogue was burned down, Jewish homes and stores were damaged and Jews were publicly beaten. Seventy men were arrested, of whom 60 were sent to Buchenwald and 10 to Sachsenhausen. In 1939, 780 Jews still lived in Aachen, many of whom managed to escape to Holland and Belgium. The remaining Jews were moved to so-called Judenhaeuser (Jewish Houses) in April 1941, after which they were subjected to forced labor and ordered to wear a yellow star badge. Between 1942 and 1944, several deportations left for Theresienstadt and Lublin. At least 845 Aachen Jews perished in the Shoah. After World War II, 25 Jewish survivors returned to Aachen, where a Jewish community center was established on Oppenhoffalle at the end of the 1950s. A memorial and a commemorative plaque have been erected at the site of the Burned interior of the synagogue of Aachen after Pogrom Night. Courtesy of: City Archive of Aachen. former synagogue and that of the schoolhouse, respectively. The new Jewish community (1,500 members in 2006) holds services at the synagogue on Synagogenplatz (formerly Promenadenstrasse), inaugurated in 1995.","Heidemarie Wawrzyn; Sources: EJL, FJG, HU, LJG, SIA, W-G, resources.ushmm.org/vlpnamelistimages/ReferenceCollection/ EE2758/Aachen_Juden_ermordet.pdf",http://germansynagogues.com/index.php/synagogues-and-communities?sid=76,76
Acholshausen,1580 or 1589,57 in 1814 (15% of the total population),6,"Jews settled in Acholshausen (near Wuerzburg) in the 1580s, but the records reveal very little about the community’s early period. A trade registry from 1817 lists nine Jewish families, and we also know that many local Jews left the town during the latter half of the 19th century. The community established a synagogue in 1850 or 1882. Acholshausen was also home to a mikveh and a school for religious studies, the latter of which was presided over by a teacher/shochet who also served the Gaukoenigshofen community; Der Israelit newspaper posted an ad for this position on January 8, 1891. Burials were conducted in Allersheim. As a result of dwindling membership numbers, the Acholshausen Jews eventually lost their status as an autonomous Jewish community. In 1919, the remaining Jews joined the community in Gaukoenigshofen. Although the synagogue was no longer in use on Pogrom Night, rioters nevertheless ravaged the building. In 1944, the heavily damaged structure was destroyed during an air raid. 5 Adelebsen (Lower Saxony) Pogrom Night 1938 ￼Nine Acholshausen Jews perished in the Shoah. In 1942, a Jewish couple—the town’s only remaining Jews— was deported to Izbica (near Lublin, Poland), as were the remaining Jews of Gaukoenigshofen. Acholshausen, now part of Gaukoenigshofen (since 1975), is no longer home to a Jewish community. Although the synagogue ruins still exist, a memorial was never erected on the site.","Benjamin Rosendahl; Sources: AJ, EJL, YV",http://germansynagogues.com/index.php/synagogues-and-communities?sid=79,79
Achim,1746,73 in 1907,37,"The Jewish community of Achim was established in 1844. In 1864, a local Jew financed and built a synagogue on his land, which became community property in 1932. Achim’s Jewish cemetery was consecrated in 1865 (desecrated in 1900), and we also know that, beginning in 1843, a teacher who performed the duties of chazzan and shochet served the community. Opened in 1855, the Jewish school became a public elementary school in 1878; the school received its own building in 1907 but was closed in 1924. In 1933, a teacher/chazzan provided religious instruction to six schoolchildren. A women’s association was active in the community, to which the Jews of Ottersberg, Hemelingen and Osten were affiliated. On Pogrom Night, the synagogue’s interior was destroyed. Rioters broke windows in and plundered Jewish homes; local Jews were sent to Sachsenhausen concentration camp. The synagogue was sold to a local merchant in 1939, and in 1944, the cemetery was confiscated and destroyed. Nine Jews emigrated, 14 relocated within Germany and one died in Achim. In November, 1941, nine Jews (one family) were deported to Minsk. A Jewish couple was deported to Theresienstadt in the summer of 1942. Two local Jews—both were married to Gentiles—survived the war in Achim. At least 30 local Jews perished in the Shoah. Achim’s cemetery was restored in 1945, and the synagogue building was demolished in the early 1950s. Memorial plaques were unveiled at the cemetery and near the synagogue site in 1985 and 1990 respectively.","Nurit Borut; Sources: DNAKA, GLS, PK-NW, RMGA Gerrit Beermann, Kerstin Hofmann, Franziska Veit, Andreas Voß, Juedisches Leben in Achim.",http://germansynagogues.com/index.php/synagogues-and-communities?sid=78,78
Abterode,1600,234 in 1835,80,"Abterode (Hesse) During the 17th and 18th centuries, local Jews held services in a prayer room at 7 Hinterweg. The community established a cemetery on Rehbergstrasse in the mid-17th century; a Jewish elementary school at 47 Steinweg in 1840; and a ￼4 A Memorial to the Synagogues of Germany Achim (Lower Saxony) ￼new synagogue on 1 Hinterweg, in 1871. Abterode also had a mikveh. The welfare organization Chewro Gemilus Chasodim and a women’s charity group were active in Abterode in 1933. The school was closed down in January 1934, after which, in 1937, it was reopened as a private school. On Pogrom Night, the synagogue’s interior and contents were destroyed. The school building, a Jewish-owned business and eight homes (including the teacher’s apartment) were damaged heavily. Jewish men were beaten and humiliated in the synagogue’s yard, but a Christian minister prevented the crowd from pushing a Jew off the synagogue’s gallery. The Jewish men were then deported to Buchenwald; all other Jews were taken to Eschwege. Twenty-six Jews emigrated and 60 relocated within Germany; the others were deported to the East. At least 83 Abterode Jews perished in the Shoah. Sold to a bank in 1944, the synagogue was used as a storage room. Between 1992 and 2007, the building was restored in cooperation with Germany’s State Office for the Preservation of Historical Monuments. During the restoration work, a geniza was discovered there. A memorial plaque has been affixed to the building, which is now a bank.","Heidemarie Wawrzyn; Sources: AJ, DJGH, EJL, PK-HNF, SIA; www.gemeinde-meissner.de",http://germansynagogues.com/index.php/synagogues-and-communities?sid=77,77
Adorf,1778,45 in 1826,20,"A Jewish presence was first recorded in Adorf in 1778. The earliest available record of a cemetery is dated 1809, and we also know that it was consecrated near Dansenberghalle, outside Adorf. In 1832, the community received permission to build a synagogue, which was inaugurated shortly afterwards. Although we know that Adorf was home to a Jewish school in 1872—established in rented quarters on Bergstrasse—the records do not tell us when it was built. In September 1935, windows in Jewish homes were smashed. In 1936/37, 12 Jews relocated within Germany and one immigrated to Brazil; three passed away in Adorf. The synagogue was sold in 1937, and in 1938 the community was disbanded. Ritual objects from the synagogue were transferred to Kassel. Despite this, on Pogrom Night, the synagogue’s interior was destroyed. The building was demolished in 1939. Three Jews lived in Adorf in 1941: Two moved to Wrexen in November of that year; and one (possibly married to a Christian) remained in Adorf and died there in 1947. At least 14 local Jews perished in the Shoah. At some point after 1960, a memorial plaque was unveiled at the former synagogue’s site. The cemetery, which was desecrated during the Nazi period, was desecrated again in 1981. Nurit Borut Sources: PK-HNF www.synagoge-voehl.de",Nurit Borut; Sources: PK-HNF www.synagoge-voehl.de,http://germansynagogues.com/index.php/synagogues-and-communities?sid=84,84
Adelsberg,15th century,64 in 1816,21,"Although Adelsberg was home to a medieval Jewish community, it was not until the early 17th century that the foundations of its modern Jewish community were established. During the first half of the 18th century, Jews lived on the grounds of a freeman’s castle, where they established a prayer hall and a synagogue, the latter of which was opened in 1775. Jews left the castle grounds in 1848, after which (in 1850 or between 1860 and 1862) they built another synagogue. The community maintained a mikveh and employed a schoolteacher who also served as chazzan and shochet. The dead were buried in Laudenbach. In 1933, three children studied religion in Adelsberg. By 1937, the community could no longer gather a minyan. Accordingly, Jewish men prayed with Jews from Hessdorf, alternating between synagogues. The annexation of Austria by the Third Reich in March 1938 sparked riots in Adelsberg, during which the windows in Jewish homes and in the synagogue were smashed. On Pogrom Night, SA men ravaged Jewish homes and destroyed the synagogue’s furniture. Luckily, most of the ritual items had been hidden in advance. Adelsberg’s remaining Jews left after the pogrom. Five emigrated and 10 relocated within Germany. At least 18 Adelsberg Jews perished in the Shoah. The synagogue’s remains were cleared in 1951/1952.","Yaakov Borut Sources: AJ, PK-BAV",http://germansynagogues.com/index.php/synagogues-and-communities?sid=81,81
Adelsdorf,1448,265 in 1837,60,"The Jewish community of Adelsdorf employed its own rabbi from 1769 until 1845. Records indicate that the community’s sixteenth-century synagogue, destroyed by anti-Semitic rioters in 1699, was later replaced. A new synagogue (with a classroom and living quarters for the chazzan) was built in 1822 and renovated in 1852. Adelsdorf’s Jews used the regional cemetery near Zeckern, which was consecrated in either the 14th or 15th century. ￼In 1933, a teacher from Muehlhausen provided religious instruction for six children. On the morning before Pogrom Night (November 1938), SS men, aided by local Nazis and conscripts from a nearby labor camp, broke the windows and doors of Adeldorf ’s 12 Jewish homes, destroyed their furniture and burned ritual items from the synagogue in the market square. The school’s furniture was also destroyed, and several Jews were sent to Dachau. Following an assassination attempt against Hitler on November 9, 1939, Jews in Adelsdorf were attacked by individual aggressors. One Adelsdorf Jew was arrested for “defilement” of the “Aryan” race in February 1942. Two local Jews were deported to Izbica in April, 1942; nine “mixed race” Jews remained in Adelsdorf. At least 47 local Jews perished in the Shoah. The synagogue building was sold in 1939 and demolished in 1979. In 2000, a memorial stone was unveiled near the site.","Yaakov Borut  Sources: AJ, PK-BAV",http://germansynagogues.com/index.php/synagogues-and-communities?sid=82,82
Adelsheim,Middle Ages,70 in 1885,35,"Although Jews had lived in Adelsheim during the Middle Ages and founded a congregation there in the 17th century, their numbers were limited until the beginning of the 1800s. Records suggest that the seventeenth-century community conducted services in a shul (built on the second floor of a house on Torgasse). From the middle of the 19th century until 1889, thecongregationprayedinasynagogueat27Turmgasse.This synagogue was sold in 1889/90, when a new house of worship was inaugurated at 1 Tanzbergstrasse/Untere Austrasse; the grand Duke of Baden facilitated the process by providing the community with a grant. Local Jews also maintained a mikveh, a school and a cemetery, the last of which was consecrated in 1889 and shared with the communities of Sennfeld and Korb. In 1933, Adelsheim was home to 35 Jewish citizens, 20 of whom emigrated from Germany as a result of the anti-Jewish boycott. Later, on Pogrom Night, the synagogue’s interior was destroyed and the Torah scrolls were burned in public. The last eight Jews of Adelsheim were deported to Gurs, France, in October, 1940; all died either in Gurs, in other French camps or, later, in Auschwitz. In 1939, the municipality appropriated the synagogue. The building was used as a youth club after World War II and later for agricultural purposes. A memorial plaque was unveiled there in 2005.","Yehoshua Arens; Sources: AJ, EJL, SG-BW",http://germansynagogues.com/index.php/synagogues-and-communities?sid=83,83
