id,content
0,"AACH Rhineland, Germany. Jews arrived in 1589, reaching a peak pop. of 77 (total 310) in 1843, which steadily declined due to emigration to 38 in 1933. A synagogue was consecrated in 1859. Most Jews were fairly prosperous cattle traders. Their busine"
1,"AACHEN Rhineland, Germany. Jews were present during the reign of Charlemagne and were granted the right of free trade in his Jew Edict of 800. A Jew namedYitzhak was the only one of his representatives to return from a mission to the caliph Harun al-"
2,"AALTEN Gelderland dist., Holland. J. presence in A. began in the 1620s. There were 85 Jews in 1860 (total 6,031). In WWiII deportations began comparatively late and in early 1943, 81 Jews still lived there.Thirty-five survivedin hiding. The entirereg"
3,"ABA Fejer dist., Hungary. Jews are mentioned in 1778 sources. Their pop. was 131 in 1880 and 59 in 1930. A school was established in 1878. In 1941, they were subjected to forced labor and on 18 June 1944 deported to Auschwitz via the Szekesfehervar g"
4,"ABADSZALOK Jasz-Nagykun-Szolnok dist., Hungary. Jews settled in the first half of the 19th cent. and numbered 112 in 1880. In 1919, White Terror members mounted a pogrom here. On 26-29 June 1940, there were 18 J. families.In 1944, they weredispatched"
5,"ABAUJSZANTO Abauj dist., Hungary. Jews were present in the first half of the 18th cent. and by 1765 maintained asynagogue and cemetery. In 1840, they numbered 1,212 but subsequently started leaving for the big cities. Many Jews were linked to the are"
6,"ABONY Pest-Pilis-Solt-Kiskun dist., Hungary. Jews are first mentioned in 1756 and in 1788 opened a J. school. In 1880, they numbered 834. Many werepeddlers,with 20-25 families engagedin farming.In 1941, the J. pop. was 315. A ghetto for all the Jews "
7,"ABRAMOWO Polesie dist., Poland, today Belarus. Initially only Jews lived in this farm settlement,numbering 97 in 1921.They were deportedto the Treblinka death camp in Nov. 1942 via the Kamieniec Litewski ghetto."
8,"ABRENE (Jaunlatgale) Latgale dist., Latvia. The J. pop. in 1935 was 61 (total 1,242). All but a few fled to Soviet territory with the approach of the Germans in June 1941."
9,"ABTERODE Hesse, Germany. Jews lived there from the mid-17th cent. and established the largest rural community in the duchy of Hesse, numbering 39 families (23% of the total) in 1744 and 234 individuals in 1835. Many of the duchy's Hebrew teachers wer"
10,"ACAS (Hung. Akos) N. Transylvania dist., Rumania. Jews first settled in the late 18th cent. The J. pop. in 1920 was 118 (7% of the total). In May 1944 the J. community was transferred to the Simleul Silvaniei ghetto and in June deported to Auschwitz."
11,"ACHIM Hanover, Germany. Affiliated with Stade's rabbinate (1844), the community built a synagogue in 1864 and maintained a state-recognized J. elementary school (1878-1924). The J. pop. numbered 73 (2% of the total) in 1907 but then declined. In 1928"
12,"ACS Komarom dist., Hungary. Jews settled in the mid-18th cent., numbering 275 in 1840 and declining to 119 by 1930 after steady emigration to the cities. On 13-16 June 1944, they were deportedto Auschwitz via Kisber."
13,"ADA Vojvodina dist., Yugoslavia. The J. community was established in 1790 and in 1868-69, at the time of thereligious division ofHungarianJewry,it adheredto Orthodoxy. It turned to Zionism between the World Wars. In 1921 the Jews numbered 370 (total "
14,"ADAMOW Lublin dist., Poland. J. settlement commenced in the 19th cent. The J. pop. reached 494 in 1897 and 664 in 1921 (total 1,934). Between the World Wars the Zionists and their youth movements were active. The Germans arrived on 20 Sept. 1939, set"
15,"ADELEBSEN Hanover, Germany. Jews arrived in the late 17th cent. and maintained asynagogue from about 1715 and apparently also a cemetery by the early 18th cent. Twelve families were present in 1752 and by the first half of the 19th cent. the communit"
16,"ADELSBERG (in J. sources, Alts Berg) Lower Franconia, Germany. Jews were present from at least the early 19th cent., many engaged in farming and crafts. A synagogue was built in 1860-62. The J. pop. dropped from 63 in 1880 to 21 in 1933 (total 369). "
17,"ADELSDORF Upper Franconia, Germany. The community is first mentioned in 1669 as a victim of peasant riots. Few Jews lived there in the 18th cent. Subsequently the Jews reached a peak pop. of 265 in 1837 (total870) before steadily declining through em"
18,"ADELSHEIM Baden, Germany. A few protected J. families are known from 1338 and 1690. In the 18th cent. the Jews lived in a special quarter, were forced to wear distinctive clothes, and were confined to their homes on Sundays and Christian holidays. St"
19,"ADJUD Moldavia dist., Rumania. Jews first settled in the late 18th cent. They suffered when the city was ransackedby insurgents in 1821.In 1891,R. Avraham Friedmansetup a court of theRuzhin Hasidim. The J. pop. in 1899 was 827 (30% of the total). In "
20,"ADONY Fejer dist., Hungary. Jews settled in the first half of the 19th cent.andfoundedaNeologist (Reform) congregationin 1868. The community numbered 75 in 1880 and 40 in 1930. In 1942, some Jews were subjected to forced labor. The remainder, about 2"
21,"ADORF Hesse, Germany. Numbering 45 in 1826, the Jews established a community around 1840 but their number dwindled to 14 in 1925. After the community disbanded (1938), only three Jews remained."
22,"AFFALTRACH Wuerttemberg, Germany. Jews first settledin 1660 under the protection of the ruling Order of St. John and engaged in moneylending and moneychangingaswell aslimited tradein hidesandcattle,peddling, and land dealings. In 1854 their pop. reac"
