ejl_line,code,name,region,country,presence_type,year_approx,year_code,source,area,index_sht,src,lon,lat
8,PSK_OST_PYTL,ABRENE,Pskov,Latvia,POP,1935,1935,The J. pop. in 1935 was 61,Russian Empire,3405Py1,SHTETLS,27.9,57.06666667
14,WGLC_LBL_ADM,ADAMOW,Lublin,Poland,jews_arrived,1800,18XX,J. settlement commenced in the 19th cent.,West Galicia,,GLC_PRU,22.26666667,51.73333333
31,CRL_GZN_AZPT,AIZPUTE,Courland,Latvia,jews_arrived,1500,15XX,Jews arrived in the 16th cent.,Russian Empire,1904Gz1,SHTETLS,21.6,56.71666667
34,KHR_AKH_OKHT,AKHTYRKA,Kharkov,Ukraine,POP,1897,1897,"The J. pop. was 168 (total 23,399) in 1897",Russian Empire,4602Ak1,SHTETLS,34.9,50.31666667
36,KVN_NVL_AKNS,AKNISTE,Kovno,Latvia,community_founded,1850,18MX,The J. settlement was founded in the mid-19th cent.,Russian Empire,1703Ok2,SHTETLS,25.75,56.16666667
42,VLH_RVN_OLKS,ALEKSANDRIA,Volhinia,Poland,first_mention,1648,1648,A few Jews remained after the destruction ... in the Chmielnicki disturbances of 1648-49,Russian Empire,0811Al1,SHTETLS,26.35,50.73333333
44,POL_LDZ_ALK,ALEKSANDROW,Lodz,Poland,jews_arrived,1818,1818,Jews were among the first settlers in 1818,Congress Poland,,GLC_PRU,19.3,51.81666667
45,POL_WRS_ALK,ALEKSANDROW-KUJAWSKI,Warsaw,Poland,jews_arrived,1875,18LX,Jews settled in the late 19th cent.,Congress Poland,,GLC_PRU,18.7,52.86666667
48,BSS_BLT_ALXN,ALEXANDRENI,Bessarabia,Rumania,jews_arrived,1850,18MX,Jews first settled in mid-19th cent.,Russian Empire,0304Al1,SHTETLS,28.06666667,47.8
49,KHR_ALK_OLKS,ALEXANDRIA,Kherson,Ukraine,jews_arrived,1775,17LX,Jews apparently settled in the late 18th cent.,Russian Empire,4702Al1,SHTETLS,33.11666667,48.66666667
51,KV_CHG_OLKS,ALEXANDROVKA,Kiev,Ukraine,jews_arrived,1775,17LX,Jews apparently arrived in the late 18th cent.,Russian Empire,1612Al1,SHTETLS,32.23333333,48.96666667
