id,name,altname,lang,period
-2152937,’s-Heerenberg,’s-heerenberg,,
-2152937,’s-Heerenberg,heerenberg,,
-1736604,Aach,aach,,
-1736604,Aach,aach (bei trier),,
-2140149,Aalten,aalten,,
-847699,Aba,aba,,
-847701,Abádszalók,abádszalók,,
-847701,Abádszalók,tiszaszalók,Hungary,before 1896
-847717,Abaújvár,abaújvár,,
-847717,Abaújvár,abovská nová ves,,
A0051,Abazovka,abazovka,,
A0051,Abazovka,abuzovka,,
-2617212,Abeli,obeliai,,
-2617212,Abeli,abel,,
-2617212,Abeli,abeli,,
-2617212,Abeli,abele,,
-2617212,Abeli,abeil,,
-2617212,Abeli,abeliai,,
-2617212,Abeli,obel,,
-847722,Abony,abony,,
-847722,Abony,abon,,
-847722,Abony,nagyabony,,
-847722,Abony,szolnokabony,,
11250560,Abramovo,abramovo,,
11250560,Abramovo,abramowo,,
11250560,Abramovo,plesiszcze,,
-1736769,Abterode,abterode,,
-1736875,Achim,achim,,
-847733,Ács,ács,,
-847733,Ács,áts,,
-847733,Ács,ecs,,
-863002,Acsád,nyíracsád,,
-863002,Acsád,acsád,,
-73782,Ada,ada,"Serbia, Hungary",
-492116,Adamów,adamów,,
-492116,Adamów,yadimov,,
-492116,Adamów,adamuv,,
-492116,Adamów,adamov,,
-732885,Adana,adana,,
-732885,Adana,adhanah,,
-1737008,Adelebsen,adelebsen,,
-519402,Adelnau,odolanów,,
-519402,Adelnau,adelnau,,
-519402,Adelnau,odalanów,,
-1737037,Adelsberg,adelsberg,,
-1737037,Adelsberg,alta berg,,
-1737043,Adelsdorf,adelsdorf,,
-1737048,Adelsheim,adelsheim,,
-1150780,Adjud,adjud,,
-1150780,Adjud,ad judul,,
-1150780,Adjud,egyedhalma,,
-547683,Adler-Kosteletz,kostelec nad orlicí,,
-547683,Adler-Kosteletz,adler-kosteletz,,
-847763,Adony,adony,,
-847763,Adony,duna-adony,,
-847763,Adony,rác-adony,,
-1737170,Adorf,adorf,,
-1150786,Adorján,adrian,,
-1150786,Adorján,adorján,,
-1737196,Affaltrach,affaltrach,,
-870774,Agárd,zemplénagárd,,
-870774,Agárd,agárd,,
-813357,Agrínion,agrínion,,
-813357,Agrínion,agrínio,,
-813357,Agrínion,agrinium,,
-813357,Agrínion,vrachori,,
-813357,Agrínion,vrahori,,
-1737278,Ahaus,ahaus,,
-1737334,Ahlen,ahlen,,
-1737475,Ahrensburg,ahrensburg,,
-1737475,Ahrensburg,stadt ahrensburg,,
-1737475,Ahrensburg,ahrensborg,,
-1737653,Aidhausen,aidhausen,,
-457562,Aïn Beïda,aïn beïda,,
-847839,Ajak,ajak,,
-3161062,Ajdabiya,ajdābiyā,,
-3161062,Ajdabiya,ajdābiyah,,
-3161062,Ajdabiya,agedabia,,
-3161062,Ajdabiya,adjadabia,,
-1034035,Akhtyrka,okhtyrka,,
-1034035,Akhtyrka,akhtyrka,,
-1034035,Akhtyrka,achtyrka,,
-1034035,Akhtyrka,akhtirka,,
-1035629,Akkerman,bilhorod-dnistrovs'kyy,,
-1035629,Akkerman,akerman,,
-1035629,Akkerman,cetatea albă,,
-1035629,Akkerman,belgorod dnestrovskiy,,
-1035629,Akkerman,akkerman,,
-1035629,Akkerman,ir lavan,,
-1035629,Akkerman,białogród nad dniestrem,,
-1035629,Akkerman,alba julia,,
-1035629,Akkerman,dnyeszterfehérvár,,
-1035629,Akkerman,walachisch weißenburg,,
-1165458,Aknasugatag,ocna şugatag,,
-1165458,Aknasugatag,aknasugatag,,
-1165458,Aknasugatag,okna shugatag,,
-1165458,Aknasugatag,shugetag,,
-1165458,Aknasugatag,acnasugatagu,,
-1165458,Aknasugatag,ocnasugatagu,,
-1054673,Aknaszlatina + Faluszlatina,solotvyno,,
-1054673,Aknaszlatina + Faluszlatina,aknaszlatina,,
-1054673,Aknaszlatina + Faluszlatina,faluszlatina,,
-1054673,Aknaszlatina + Faluszlatina,slotfina,,
-1054673,Aknaszlatina + Faluszlatina,selo-slatina,,
-1054673,Aknaszlatina + Faluszlatina,kostel solotvonski,,
-1054673,Aknaszlatina + Faluszlatina,solotvina,,
-1054673,Aknaszlatina + Faluszlatina,sołotwyno,,
-1054673,Aknaszlatina + Faluszlatina,ocna slatina,,
-1054673,Aknaszlatina + Faluszlatina,salzgruben,,
-1054673,Aknaszlatina + Faluszlatina,solotvyna,,
-1054673,Aknaszlatina + Faluszlatina,solotvino,,
-1054673,Aknaszlatina + Faluszlatina,slatinské doly,,
-1054673,Aknaszlatina + Faluszlatina,doly slatinská,,
-1054673,Aknaszlatina + Faluszlatina,slatina-selo,,
-1150749,Ákos,acîş,,
-1150749,Ákos,ákos,,
-1150749,Ákos,fürstendorf,,
-1150749,Ákos,acâş,,
-3102370,Al Hillah,al ḩillah,,
-3102370,Al Hillah,al-hillah,,
-3102370,Al Hillah,hilla,,
-2538525,Al Qamishli,al qamishli,,
-2538525,Al Qamishli,qamişlo,,
-2538525,Al Qamishli,kamışlı,,
-2538525,Al Qamishli,kamishli,,
-2538525,Al Qamishli,al-qāmišlī,,
-2538525,Al Qamishli,qamishli,,
-2538525,Al Qamishli,qamishlo,,
-2875499,Alatyr,alatyr',,
-2875499,Alatyr,ulatar,,
-1737863,Albersweiler,albersweiler,,
-847896,Albertfalva,albertfalva,,
-847896,Albertfalva,sachsenfeld,,
-847897,Alberti / Irsa,albertirsa,,
-847897,Alberti / Irsa,irsa,,
-847897,Alberti / Irsa,alberti,,
-847897,Alberti / Irsa,albert-irsa,,
-1150891,Albest / Fehérlak,albeşti,,
-1150891,Albest / Fehérlak,albest,,
-1150891,Albest / Fehérlak,fehérlak,Hungary,since 1913
-3178805,al-Boirat,tarhuna,,
-3178805,al-Boirat,tarhūnah,,
-3178805,al-Boirat,al-boirat,,
-3178805,al-Boirat,el-buerát,,
-3178805,al-Boirat,el-ubberát,,
-3178805,al-Boirat,tarhoona,,
-3178805,al-Boirat,tarhounah,,
-2275979,Aleksandreny,alexăndreni,,
-2275979,Aleksandreny,aleksandreny,,
-2275979,Aleksandreny,leksndren,,
-2275979,Aleksandreny,alexandreni târg,,
-2275979,Aleksandreny,aleksandrovsk,,
-2275979,Aleksandreny,aleksandreni-tyrg,,
-1034078,Aleksandriya,oleksandriya,,
-1034078,Aleksandriya,aleksandriya,,
-1034078,Aleksandriya,aleksandria,"Poland, Yiddish",
-1034078,Aleksandriya,aleksandriia,,
-1034078,Aleksandriya,aleksandrija,,
-1034078,Aleksandriya,olexandrija,,
-1034078,Aleksandriya,aleksandrya,,
-1034078,Aleksandriya,aleksandri,,
-1034078,Aleksandriya,leksandrye,,
-1049208,Aleksandriya,oleksandriya,,
-1049208,Aleksandriya,aleksandria,"Russia, Yiddish",
-1049208,Aleksandriya,aleksandrya,,
-1049208,Aleksandriya,oleksandriia,,
-1049208,Aleksandriya,aleksandriya,,
-1049208,Aleksandriya,alexandria,,
-1049208,Aleksandriya,alexandrija pervaya,,
-1049206,Aleksandrovka,oleksandrivka,,
-1049206,Aleksandrovka,aleksandrovka,,
-1049206,Aleksandrovka,aleksandrówka,,
-1049206,Aleksandrovka,alexandrovka,,
-2620955,Aleksandrovsk,žemaičių naumiestis,,
-2620955,Aleksandrovsk,neishtat sugind,,
-2620955,Aleksandrovsk,aleksandrovsk,,
-2620955,Aleksandrovsk,neustadt sugind,,
-2620955,Aleksandrovsk,ir chadash sugind,,
-2620955,Aleksandrovsk,nowe miasto,,
-2620955,Aleksandrovsk,nishtot tavrig,,
-2620955,Aleksandrovsk,neishtat,,
-2620955,Aleksandrovsk,aleksandria,,
-2620955,Aleksandrovsk,naumiestis-taurage,,
-2620955,Aleksandrovsk,žemaitiu naumiestis,,
-1060168,Aleksandrovsk,zaporizhzhya,,
-1060168,Aleksandrovsk,zaporozh'ye,Russia,after 1921
-1060168,Aleksandrovsk,aleksandrovsk,Russia,until 1921
-1060168,Aleksandrovsk,zaporoże,,
-1060168,Aleksandrovsk,aleksandrowsk,,
-1060168,Aleksandrovsk,zaporozh'e,,
-1060168,Aleksandrovsk,zaporizhia,,
-1060168,Aleksandrovsk,zaporižžja,,
-1060168,Aleksandrovsk,saporoshje,,
-1060168,Aleksandrovsk,saporischschja,,
-3000230,Aleksandrovsk-Grushevskiy,shakhty,Russia,since 1921
-3000230,Aleksandrovsk-Grushevskiy,aleksandrovsk-grushevskiy,,
-3000230,Aleksandrovsk-Grushevskiy,gornoye grushevskoye,,
-3000230,Aleksandrovsk-Grushevskiy,schachty,,
-3000230,Aleksandrovsk-Grushevskiy,shakhti,,
-492229,Aleksandrów,aleksandrów kujawski,,
-492229,Aleksandrów,aleksandrów,Poland,1879-1919
-492229,Aleksandrów,trojanów,Poland,until 1879
-492229,Aleksandrów,aleksandrowo,,
-492229,Aleksandrów,aleksandrów podgraniczny,,
-492229,Aleksandrów,weichselstädt,Germany,1943-45
-1048946,Aleksinets,novyy oleksinets,,
-1048946,Aleksinets,nowy oleksiniec,,
-1048946,Aleksinets,aleksnitz,,
-1048946,Aleksinets,oleksinets novy,,
-1048946,Aleksinets,olekiniec-nowy,,
-1048946,Aleksinets,novyy aleksinets,,
-1048946,Aleksinets,nove-oleksynec',,
