code,id,name,lon,lat
KHR_AKH_OKHT,-1034035,Okhtyrka,50.31666667,34.9
VLH_RVN_OLKS,-1034078,Oleksandriya,50.73333333,26.35
MRM_MRM_OLKS,-1034137,Oleksandrivka,48.13333333,23.5
CHR_KRL_ALTY,-1034270,Altynivka,51.45,33.18333333
DNV_TGN_AMVR,-1034281,Amvrosiyivka,47.8,38.48333333
KHR_ANN_ANNY,-1034285,Ananyiv,47.71666667,29.96666667
VLH_ZHT_ANDR,-1034396,Andrushivka,50.01666667,29.01666667
VLH_OST_ANNP,-1034425,Annopol,50.45,26.9
VLH_ZSL_ANTN,-1034469,Antoniny,49.8,26.86666667
VLH_RVN_ANTN,-1034509,Antonivka,50.8,26.5
KHR_KHR_APST,-1034540,Apostolove,47.66666667,33.73333333
TRD_PRK_ARMY,-1034582,Armyans'k,46.1,33.7
GLC_ZLK_ARTS,-1034594,Artasiv,50.01666667,24.13333333
EKT_BKH_ARTM,-1034612,Artemivs'k,48.58333333,38
BSS_AKK_ARTS,-1034623,Artsyz,45.98333333,29.41666667
TRD_ALS_ASKN,-1034632,Askaniya Nova,46.45,33.86666667
BSS_KHT_ATKY,-1034644,Ataky,48.53333333,26.48333333
KV_UMN_BBNK,-1034731,Babanka,48.7,30.45
TRD_SMF_BKHC,-1034817,Bakhchysaray,44.75,33.86666667
CHR_KNT_BKHM,-1034820,Bakhmach,51.21666667,32.76666667
CHR_KNT_BKHM2,-1034820,Bakhmach,51.21666667,32.76666667
KV_LPV_BLBN,-1034851,Balabanivka,49.11666667,29.61666667
TRD_SVS_BLKL,-1034856,Balaklava,44.5,33.6
PDL_KMN_BLN,-1034883,Balin,48.86666667,26.68333333
PDL_BLT_BLT,-1034900,Balta,47.93333333,29.61666667
BKV_STR_BNYL,-1034915,Banyliv Pidhirnyi,48.08333333,25.48333333
BKV_WZN_BNYL,-1034916,Banyliv,48.36666667,25.36666667
GLC_KLM_BNYB,-1034922,Banya Bereziv,48.41666667,24.75
PDL_MGL_BR,-1034926,Bar,49.06666667,27.66666667
VLH_NVG_BRNV,-1034958,Baranivka,50.3,27.66666667
VLH_ZHT_BRSH,-1034965,Barashi,50.71666667,28.01666667
VLH_DBN_BRML,-1034974,Baremel,50.46666667,25.2
GLC_BRD_BRYL,-1034975,Baryliv,50.35,24.88333333
GLC_BCZ_BRYS,-1035000,Barysh,49.03333333,25.26666667
PLT_PRS_BRYS,-1035001,Baryshivka,50.36666667,31.33333333
CHR_KNT_BTRY,-1035043,Baturyn,51.35,32.88333333
GLC_ZLK_BTYT,-1035044,Batyatychi,50.1,24.26666667
VLH_STR_BZLY,-1035073,Bazaliya,49.71666667,26.46666667
VLH_OVR_BZR,-1035076,Bazar,51.05,29.3
MRM_MRM_BDVL,-1035089,Bedevlya,48,23.66666667
KV_BRD_BLYL,-1035165,Bilylivka,49.68333333,29.03333333
KRP_BRG_BLKY,-1035186,Bilky,48.31666667,23.13333333
VLH_ZSL_BLHR,-1035197,Bilohorodka,50,26.63333333
TRD_SMF_BLHR,-1035201,Bilohirs'k,45.05,34.6
VLH_OST_BLHR,-1035206,Bilohirya,50,26.41666667
KV_BRD_BLPL,-1035228,Belopol'ye,49.85,28.86666667
KHR_SMY_BLPL,-1035229,Bilopillya,51.15,34.3
PLT_KHR_BLTS,-1035246,Bilotserkivka,49.68333333,33.78333333
GLC_NDW_BLOS,-1035311,Bili Oslavy,48.5,24.7
GLC_ZLC_BLYK,-1035313,Bilyi Kamin,49.9,24.83333333
