code,id,name,dist,prov,code_prov,code_dist
KHR_AKH_OKHT,-1034035,Okhtyrka,Akhtyrka,Kharkov,46,2
VLH_RVN_OLKS,-1034078,Oleksandriya,Rovno,Volhinia,8,11
MRM_MRM_OLKS,-1034137,Oleksandrivka,Máramaros,Maramaros,,
CHR_KRL_ALTY,-1034270,Altynivka,Krolevets,Chernigov,48,7
DNV_TGN_AMVR,-1034281,Amvrosiyivka,Taganrog,Don,12,7
KHR_ANN_ANNY,-1034285,Ananyiv,Anan'ev,Kherson,47,3
VLH_ZHT_ANDR,-1034396,Andrushivka,Zhitomir,Volhinia,8,1
VLH_OST_ANNP,-1034425,Annopol,Ostrog,Volhinia,8,10
VLH_ZSL_ANTN,-1034469,Antoniny,Zaslavl',Volhinia,8,4
VLH_RVN_ANTN,-1034509,Antonivka,Rovno,Volhinia,8,11
KHR_KHR_APST,-1034540,Apostolove,Kherson,Kherson,47,1
TRD_PRK_ARMY,-1034582,Armyans'k,Perekop,Taurida,41,6
GLC_ZLK_ARTS,-1034594,Artasiv,Żółkiew,Galicia,62,46
EKT_BKH_ARTM,-1034612,Artemivs'k,Bakhmut,Yekaterinoslav,13,3
BSS_AKK_ARTS,-1034623,Artsyz,Akkerman,Bessarabia,3,2
TRD_ALS_ASKN,-1034632,Askaniya Nova,Aleshki,Taurida,41,3
BSS_KHT_ATKY,-1034644,Ataky,Khotin,Bessarabia,3,8
KV_UMN_BBNK,-1034731,Babanka,Uman',Kiev,16,10
TRD_SMF_BKHC,-1034817,Bakhchysaray,Simferopol',Taurida,41,1
CHR_KNT_BKHM,-1034820,Bakhmach,Konotop,Chernigov,48,6
CHR_KNT_BKHM2,-1034820,Bakhmach,Konotop,Chernigov,48,6
KV_LPV_BLBN,-1034851,Balabanivka,Lipovets,Kiev,16,6
TRD_SVS_BLKL,-1034856,Balaklava,Sevastopol',Taurida,41,10
PDL_KMN_BLN,-1034883,Balin,Kamenets-Podol'sk,Podolia,,
PDL_BLT_BLT,-1034900,Balta,Balta,Podolia,32,2
BKV_STR_BNYL,-1034915,Banyliv Pidhirnyi,Storojinet,Bukovina,63,9
BKV_WZN_BNYL,-1034916,Banyliv,Wiznitz,Bukovina,63,6
GLC_KLM_BNYB,-1034922,Banya Bereziv,Kołomyja,Galicia,62,54
PDL_MGL_BR,-1034926,Bar,Mogilev,Podolia,32,8
VLH_NVG_BRNV,-1034958,Baranivka,Novograd-Volynsky,Volhinia,,
VLH_ZHT_BRSH,-1034965,Barashi,Zhitomir,Volhinia,8,1
VLH_DBN_BRML,-1034974,Baremel,Dubno,Volhinia,8,3
GLC_BRD_BRYL,-1034975,Baryliv,Brody,Galicia,62,63
GLC_BCZ_BRYS,-1035000,Barysh,Buczacz,Galicia,62,65
PLT_PRS_BRYS,-1035001,Baryshivka,Pereiaslav,Poltava,33,11
CHR_KNT_BTRY,-1035043,Baturyn,Konotop,Chernigov,48,6
GLC_ZLK_BTYT,-1035044,Batyatychi,Żółkiew,Galicia,62,46
VLH_STR_BZLY,-1035073,Bazaliya,Starokonstantinov,Volhinia,8,12
VLH_OVR_BZR,-1035076,Bazar,Ovruch,Volhinia,8,9
MRM_MRM_BDVL,-1035089,Bedevlya,Máramaros,Maramaros,,
KV_BRD_BLYL,-1035165,Bilylivka,Berdichev,Kiev,16,2
KRP_BRG_BLKY,-1035186,Bilky,Bereg,Karpatalja,,
VLH_ZSL_BLHR,-1035197,Bilohorodka,Zaslavl',Volhinia,8,4
TRD_SMF_BLHR,-1035201,Bilohirs'k,Simferopol',Taurida,41,1
VLH_OST_BLHR,-1035206,Bilohirya,Ostrog,Volhinia,8,10
KV_BRD_BLPL,-1035228,Belopol'ye,Berdichev,Kiev,16,2
KHR_SMY_BLPL,-1035229,Bilopillya,Sumy,Kharkov,46,11
PLT_KHR_BLTS,-1035246,Bilotserkivka,Khorol,Poltava,33,15
GLC_NDW_BLOS,-1035311,Bili Oslavy,Nadwórna,Galicia,62,53
GLC_ZLC_BLYK,-1035313,Bilyi Kamin,Złoczów,Galicia,62,75
GLC_SKL_BLZ,-1035317,Belz,Sokal,Galicia,62,41
TRD_BRD_BRDY,-1035337,Berdyansk,Berdiansk,Taurida,41,2
KV_BRD_BRDY,-1035347,Berdychiv,Berdichev,Kiev,16,2
KRP_BRG_VLYK,-1035355,Velyki Berehy,Bereg,Karpatalja,,
BKV_WZN_BRHM,-1035358,Berehomet,Wiznitz,Bukovina,63,6
KRP_BRG_BRHV,-1035365,Berehove,Bereg,Karpatalja,,
VLH_DBN_BRST,-1035372,Berestechko,Dubno,Volhinia,8,3
VLH_OVR_BRST,-1035380,Berestovets,Ovruch,Volhinia,8,9
PLT_PRS_BRZN,-1035399,Berezan,Pereiaslav,Poltava,33,11
VLH_NVG_BRZD,-1035406,Berezdiv,Novograd-Volynskii,Volhinia,,
GLC_BBR_BRZD,-1035407,Berezdivtsi,Bóbrka,Galicia,62,19
GLC_BRZ_BRZH,-1035414,Berezhany,Brzeżany,Galicia,62,64
VLH_LTS_BRZH,-1035427,Berezhnytsia,Lutsk,Volhinia,8,7
CHR_CHR_BRZN,-1035445,Berezna,Chernigov,Chernigov,48,1
KHR_KHR_BRZN,-1035449,Bereznehuvate,Kherson,Kherson,47,1
MRM_MRM_BRZN,-1035452,Bereznyky,Máramaros,Maramaros,,
VLH_RVN_BRZN,-1035456,Berezne,Rovno,Volhinia,8,11
KHR_ANN_BRZV,-1035476,Berezivka,Anan'ev,Kherson,47,3
MRM_MRM_BRZV,-1035512,Berezovo,Máramaros,Maramaros,,
KHR_KHR_BRYS,-1035528,Beryslav,Kherson,Kherson,47,1
PDL_OLG_BRSH,-1035538,Bershad,Ol'gopol',Podolia,32,9
KV_VSL_BLTS,-1035624,Bila Tserkva,Vasil'kov,Kiev,16,3
GLC_ZLS_BLCH,-1035628,Bil'che Zolote,Zaleszczyki,Galicia,62,61
BSS_AKK_BLHR,-1035629,Bilhorod Dnistrovskyy,Akkerman,Bessarabia,3,2
GLC_TRK_BTLY,-1035671,Bitlya,Turka,Galicia,62,45
KHR_ODS_BLHY,-1035719,Blahoyeve,Odessa,Kherson,47,5
KV_RDM_BBR,-1035763,Bober,Radomysl',Kiev,16,7
GLC_BBR_BBRK,-1035787,Bobrka,Bóbrka,Galicia,62,19
CHR_KZL_BBRV,-1035791,Bobrovytsia,Kozelets,Chernigov,48,5
KHR_KHR_BBRV,-1035799,Bobrovyy Kut,Kherson,Kherson,47,1
KHR_ELZ_BBRY,-1035801,Bobrynets,Elizavetgrad,Kherson,47,4
KRP_BRG_BDLV,-1035815,Badalovo,Bereg,Karpatalja,,
PDL_BLT_BHCH,-1035818,Bahachivka,Balta,Podolia,32,2
MRM_MRM_BHDN,-1035838,Bohdan,Máramaros,Maramaros,,
GLC_BHR_BHRD,-1035903,Bohorodchany,Bohorodczany,Galicia,62,47
KV_KNV_BHSL,-1035923,Bohuslav,Kanev,Kiev,16,5
GLC_DLN_BLKH,-1035940,Bolekhiv,Dolina,Galicia,62,48
BSS_IZM_BLHR,-1035949,Bolhrad,Izmail,Bessarabia,3,5
KV_BRD_VLKY,-1036032,Veliky Nyzhirtsi,Berdichev,Kiev,16,2
GLC_RHT_BLSH,-1036038,Bilshivtsi,Rohatyn,Galicia,62,55
VLH_LTS_BLSH,-1036071,Bol'shoy Zhelutsk,Lutsk,Volhinia,8,7
GLC_TRK_BRYN,-1036118,Borynya,Turka,Galicia,62,45
GLC_DRH_BRYS,-1036121,Boryslav,Drohobycz,Galicia,62,22
PLT_PRS_BRYS2,-1036130,Boryspil,Pereiaslav,Poltava,33,11
KRP_BRG_BRBV,-1036154,Barbovo,Bereg,Karpatalja,,
KV_KV_BRDY,-1036155,Borodyanka,Kiev,Kiev,16,1
PDL_IMP_BRVK,-1036183,Borivka,Iampol',Podolia,32,12
KV_SKV_BRSH,-1036201,Borshchahivka,Skvira,Kiev,16,8
GLC_BRS_BRSH,-1036203,Borshchiv,Borszczów,Galicia,62,62
GLC_LWW_BRSH,-1036218,Borshchovychi,Lwów,Galicia,62,31
CHR_BRZ_BRZN,-1036254,Borzna,Borzna,Chernigov,48,2
BKV_SDG_BYNY,-1036272,Boyany,Sadagora,Bukovina,63,3
KV_ZVN_BYRK,-1036274,Boyarka,Zvenigorodka,Kiev,16,4
PDL_VNN_BRLV,-1036303,Brailiv,Vinnitsa,Podolia,32,4
KHR_ALK_BRTL,-1036326,Bratoliubivka,Aleksandriia,Kherson,47,2
KHR_ELZ_BRTS,-1036330,Brats'ke,Elizavetgrad,Kherson,47,4
PDL_BRT_BRTS,-1036331,Bratslav,Bratslav,Podolia,32,3
KRP_BRG_BRD,-1036363,Brid,Bereg,Karpatalja,,
GLC_BRD_BRDY,-1036374,Brody,Brody,Galicia,62,63
MRM_MRM_BRNK,-1036384,Bronka,Máramaros,Maramaros,,
GLC_KLS_BRSH,-1036390,Broshniv Osada,Kałusz,Galicia,62,49
CHR_OST_BRVR,-1036400,Brovary,Oster,Chernigov,48,12
KV_RDM_BRSL,-1036408,Brusilov,Radomysl',Kiev,16,7
EKT_SLV_BRYN,-1036421,Bryanka,Slavianoserbsk,Yekaterinoslav,13,8
GLC_BCZ_BCHC,-1036442,Buchach,Buczacz,Galicia,62,65
GLC_CZR_BDNV,-1036463,Budaniv,Czortków,Galicia,62,66
GLC_RHT_BKCH,-1036565,Bukachivtsi,Rohatyn,Galicia,62,55
KV_UMN_BKY,-1036577,Buky,Uman',Kiev,16,10
KRP_BRG_BKVT,-1036584,Bukovets,Bereg,Karpatalja,,
HNG_MRM_BKVT,-1036585,Bukovets,Máramaros,Hungary,,
GLC_PDH_BRKN,-1036638,Burkaniv,Podhajce,Galicia,62,69
GLC_RHT_BRSH,-1036656,Burshtyn,Rohatyń,Galicia,62,55
MRM_MRM_BSHT,-1036685,Bushtyno,Máramaros,Maramaros,,
GLC_KMN_BSK,-1036687,Busk,Kamionka Strumiłowa,Galicia,62,67
KHR_TRS_BZYN,-1036734,Buzynove,Tiraspol',Kherson,47,6
VLH_ZHT_BYKV,-1036767,Bykivka,Zhitomir,Volhinia,8,1
KV_KV_BYSH,-1036778,Byshiv,Kiev,Kiev,16,1
KRP_BRG_BYST,-1036797,Bystrytsya,Bereg,Karpatalja,,
PDL_OLG_CHCH,-1036900,Chechelnyk,Ol'gopol',Podolia,32,9
PDL_KMN_CHMR,-1036928,Chemerivtsi,Kamenets-Podol'sk,Podolia,,
MRM_UGC_CHP,-1036934,Chepa,Ugocsa,Maramaros,,
VLH_KVL_CHRM,-1036958,Cheremoshno,Kovel',Volhinia,8,5
BKV_STR_CHRS,-1036976,Cheresh,Storojinet,Bukovina,63,9
KV_CHR_CHRK,-1037001,Cherkasy,Cherkasy,Kiev,16,11
MRM_UGC_CHRN,-1037016,Cherna,Ugocsa,Maramaros,,
GLC_HRD_CHRN,-1037037,Chernelytsya,Horodenka,Galicia,62,50
GLC_RHT_CHRN,-1037048,Cherniv,Rohatyn,Galicia,62,55
PDL_IMP_CHRN,-1037051,Chernivtsi,Iampol',Podolia,32,12
CHR_CHR_CHRN,-1037057,Chernihiv,Chernigov,Chernigov,48,1
BKV_CZR_CHRN,-1037073,Chernivtsi,Czernowitz,Bukovina,63,4
KRP_UNG_CHRN,-1037085,Chornoholova,Ung,Karpatalja,,
MRM_UGC_CHRN2,-1037114,Chornotysiv,Ugocsa,Maramaros,,
PLT_LKH_CHRN,-1037123,Chornukhy,Lokhvitsa,Poltava,33,8
VLH_ZHT_CHRN,-1037129,Chernyakhov,Zhitomir,Volhinia,8,1
GLC_HRD_CHRN2,-1037140,Chernyatyn,Horodenka,Galicia,62,50
PDL_PRS_CHRN,-1037164,Chornyi Ostriv,Proskurov,Podolia,32,10
KRP_BRG_CHRN,-1037167,Chornyi Potik,Bereg,Karpatalja,,
GLC_HRD_CHRT,-1037182,Chortovets,Horodenka,Galicia,62,50
VLH_KRM_RDYV,-1037228,Radyvyliv,Kremenets,Volhinia,8,6
VLH_ZHT_CHRV,-1037237,Chervonoarmiys'k,Zhitomir,Volhinia,8,1
GLC_SKL_CHRV,-1037239,Chervonohrad,Sokal,Galicia,62,41
VLH_ZHT_CHRV2,-1037255,Chervone,Zhitomir,Volhinia,8,1
KV_CHG_CHYH,-1037320,Chyhyryn,Chigirin,Kiev,16,12
KRP_BRG_CHYN,-1037330,Chynadiyovo,Bereg,Karpatalja,,
KRP_UNG_CHP,-1037384,Chop,Ung,Karpatalja,,
KV_RDM_CHPV,-1037385,Chopovichi,Radomysl',Kiev,16,7
KV_RDM_CHRN,-1037390,Chornobyl,Radomysl',Kiev,16,7
GLC_CZR_CHRT,-1037393,Chortkiv,Czortków,Galicia,62,66
VLH_ZHT_CHDN,-1037412,Chudniv,Zhitomir,Volhinia,8,1
KHR_ZMV_CHHY,-1037419,Chuhuyiv,Zmiev,Kharkov,46,6
MRM_MRM_DNYL,-1037507,Danylovo,Máramaros,Maramaros,,
GLC_TRM_DRKH,-1037514,Darakhov,Trembowla,Galicia,62,73
KV_LPV_DSHV,-1037533,Dashiv,Lipovets,Kiev,16,6
VLH_KVL_DTYN,-1037541,Datyn',Kovel',Volhinia,8,5
BKV_KTZ_DVYD,-1037543,Davydivtsi,Kotzman,Bukovina,63,5
GLC_KMN_DDYL,-1037569,Didyliv,Kamionka Strumiłowa,Galicia,62,67
VLH_OVR_DDKV,-1037570,Dedkovichi,Ovruch,Volhinia,8,9
KRP_BRG_DYYD,-1037574,Dyyda,Bereg,Karpatalja,,
MRM_MRM_DLV,-1037590,Dilove,Máramaros,Maramaros,,
GLC_NDW_DLYT,-1037591,Delyatyn,Nadwórna,Galicia,62,53
VLH_DBN_DMYD,-1037610,Demydivka,Dubno,Volhinia,8,3
VLH_RVN_DRZH,-1037663,Derazhne,Rovno,Volhinia,8,11
PDL_LTC_DRZH,-1037664,Derazhnya,Letichev,Podolia,32,6
BKV_WZN_DKHT,-1037755,Dikhtinets,Wiznitz,Bukovina,63,6
GLC_KMN_DMYT,-1037796,Dmytriv,Kamionka Strumiłowa,Galicia,62,67
KHR_ALK_DMYT,-1037811,Dmytrivka,Aleksandriya,Kherson,,
CHR_KNT_DMYT,-1037824,Dmytrivka,Konotop,Chernigov,48,6
EKT_EKT_DNPR,-1037863,Dniprodzerzhyns'k,Ekaterinoslav,Yekaterinoslav,13,1
EKT_EKT_DNPR2,-1037865,Dnipro,Ekaterinoslav,Yekaterinoslav,13,1
GLC_DBR_DBRM,-1037886,Dobromil,Dobromil,Galicia,62,21
KRP_BRG_BN,-1037898,Bene,Bereg,Karpatalja,,
GLC_KMN_DBRT,-1037903,Dobrotvor,Kamionka Strumiłowa,Galicia,62,67
KHR_ELZ_DBRV,-1037907,Dobrovelychkivka,Elizavetgrad,Kherson,47,4
KHR_KHR_DBR,-1037927,Dobre,Kherson,Kherson,47,1
CHR_GRD_DBRY,-103793,Dobryanka,Gorodnia,Chernigov,48,4
