id,name,region,country,modern_country,presence_type,year_code,source,alternative_names,events,notes
0,AACH,Rhineland,Germany,,jews_arrived,1589,Jews arrived in 1589,[],[],
1,AACHEN,Rhineland,Germany,,jews_present,800,were present during the reign of Charlemagne ... Jew Edict of 800,[],[],
2,AALTEN,Gelderland,Holland,,jews_present,16EX,J. presence ... began in the 1620s,[],[],
3,ABA,Fejer,Hungary,,first_mention,1778,Jews are mentioned in 1778 sources,[],[],
4,ABADSZALOK,Jasz-Nagykun-Szolnok,Hungary,,jews_arrived,18EX,Jews settled in the first half of the 19th cent.,[],"[{'event': 'White Terror pogrom', 'year': '1919', 'impact': 'pogrom', 'source': 'In 1919, White Terror members mounted a pogrom here'}]",
5,ABAUJSZANTO,Abauj,Hungary,,jews_present,17EX,Jews were present in the first half of the 18th cent.,[],[],
6,ABONY,Pest-Pilis-Solt-Kiskun,Hungary,,first_mention,1756,Jews are first mentioned in 1756,[],[],
7,ABRAMOWO,Polesie,Poland,Belarus,POP,1921,numbering 97 in 1921,[],[],
8,ABRENE,Latgale,Latvia,,POP,1935,The J. pop. in 1935 was 61,"[{'lang': 'lav', 'name': 'Jaunlatgale'}]",[],
9,ABTERODE,Hesse,Germany,,jews_present,16MX,Jews lived there from the mid-17th cent.,[],[],
10,ACAS,N. Transylvania,Rumania,,jews_arrived,17LX,Jews first settled in the late 18th cent.,"[{'lang': 'hun', 'name': 'Akos'}]",[],
11,ACHIM,Hanover,Germany,,community_present,1844,Affiliated with Stade's rabbinate (1844),[],[],
12,ACS,Komarom,Hungary,,jews_arrived,17MX,Jews settled in the mid-18th cent.,[],[],
13,ADA,Vojvodina,Yugoslavia,,community_founded,1790,The J. community was established in 1790,[],[],
14,ADAMOW,Lublin,Poland,,jews_arrived,18XX,J. settlement commenced in the 19th cent.,[],[],
15,ADELEBSEN,Hanover,Germany,,jews_arrived,16LX,Jews arrived in the late 17th cent.,[],[],
16,ADELSBERG,Lower Franconia,Germany,,jews_present,18EX,Jews were present from at least the early 19th cent.,"[{'lang': 'yid', 'name': 'Alts Berg'}]",[],
17,ADELSDORF,Upper Franconia,Germany,,first_mention,1669,The community is first mentioned in 1669,[],"[{'event': 'peasant riots', 'year': '1669', 'impact': 'community victim of riots', 'source': 'first mentioned in 1669 as a victim of peasant riots'}]",
18,ADELSHEIM,Baden,Germany,,first_mention,1338,A few protected J. families are known from 1338,[],[],
19,ADJUD,Moldavia,Rumania,,jews_arrived,17LX,Jews first settled in the late 18th cent.,[],"[{'event': 'insurgents ransacked city', 'year': '1821', 'impact': 'Jews suffered', 'source': 'suffered when the city was ransacked by insurgents in 1821'}]",
20,ADONY,Fejer,Hungary,,jews_arrived,18EX,Jews settled in the first half of the 19th cent.,[],"[{'event': 'Neologist congregation founded', 'year': '1868', 'impact': '', 'source': 'founded a Neologist (Reform) congregation in 1868'}]",
21,ADORF,Hesse,Germany,,community_founded,1840,the Jews established a community around 1840,[],[],
22,AFFALTRACH,Wuerttemberg,Germany,,jews_arrived,1660,Jews first settled in 1660,[],[],
23,AGRINION,Karilli,Greece,,jews_present,18EX,There were 200 J. families prior to the Greek revolt (1821),"[{'lang': 'gre', 'name': 'Agrinio'}, {'lang': 'gre', 'name': 'Vrachori'}, {'lang': 'gre', 'name': 'Vrakhori'}]","[{'event': 'Greek revolt violence', 'year': '1821', 'impact': 'all massacred (~200 families)', 'source': 'prior to the Greek revolt (1821), when all were massacred'}]",
24,AHAUS,Westphalia,Germany,,first_mention,1667,Jews under letters of protection are first mentioned in 1667,[],[],
25,AHLEN,Westphalia,Germany,,jews_arrived,15MX,Jews were permitted to settle in the mid-16th cent.,[],[],
26,AHRENSBURG,Schleswig-Holstein,Germany,,jews_present,17LX,evidence of the presence of Jews from the last third of the 18th cent.,[],"[{'event': 'synagogue and cemetery established', 'year': '1822', 'impact': '', 'source': 'established a synagogue and a cemetery'}]",
27,AHRWEILER,Rhineland,Germany,,jews_present,12XX,Jews were already present in the 13th cent.,[],[],
28,AIDHAUSEN,Lower Franconia,Germany,,jews_present,1867,The J. community numbered 82 in 1867,[],[],
29,AIUD,S. Transylvania,Rumania,,community_founded,1880,An Orthodox J. community was established in 1880,"[{'lang': 'hun', 'name': 'Nagyenyed'}]","[{'event': 'reorganized; joined Neologist association', 'year': '1912', 'impact': '', 'source': 'in 1912 it reorganized and joined the Neologist association'}]",
30,AIX-EN-PROVENCE,Bouches-du-Rhone,France,,first_mention,1283,The first reference to Jews dates from about 1283,"[{'lang': 'fra', 'name': 'Aix'}]",[],
31,AIZPUTE,Courland,Latvia,,jews_arrived,16XX,Jews arrived in the 16th cent.,"[{'lang': 'yid', 'name': 'Hosenpoth'}]",[],
32,AJAK,Szabolcs,Hungary,,jews_arrived,17LX,Jews settled in the late 18th cent.,[],[],
33,AJDABIYA,Cyrenaica,Libya,,first_mention,7XX,First settling in A. in the eighth cent.,[],"[{'event': 'community left', 'year': '11XX', 'impact': 'Jews left the city', 'source': ""the Jews left in the 11th cent. with the city's decline""}]",
34,AKHTYRKA,Sumy,Ukraine,,POP,1897,"The J. pop. was 168 (total 23,399) in 1897",[],[],
35,AKMENE,Mazeikiai,Lithuania,,jews_arrived,17MX,J. settlement began in the mid-18th cent.,"[{'lang': 'yid', 'name': 'Akmian'}]",[],
36,AKNISTE,Zemgale,Latvia,,community_founded,18MX,The J. settlement was founded in the mid-19th cent.,[],[],
37,ALBA-IULIA,S. Transylvania,Rumania,,community_founded,15MX,community in Transylvania was founded in the mid-16th cent.,"[{'lang': 'hun', 'name': 'Gyulafehervar'}, {'lang': 'ger', 'name': 'Karlsburg'}]",[],
38,ALBANIA,,Albania,,jews_present,12XX,Jews lived in the port town of Durres ... from the 13th cent.,[],[],
39,ALBERSWEILER,Palatinate,Germany,,first_mention,1529,Jews are first mentioned in 1529,[],[],
40,ALBERT-IRSA,Pest-Pilis-Solt-Kiskun,Hungary,,jews_arrived,1746,Jews settled in 1746,[],[],
41,ALBERTFALVA,Pest,Hungary,,jews_arrived,18LX,Jews settled in the late 19th cent.,[],[],
42,ALEKSANDRIA,Volhynia,Poland,Ukraine,first_mention,16MX,A few Jews remained after the destruction ... in the Chmielnicki disturbances of 1648-49,[],"[{'event': 'Chmielnicki disturbances', 'year': '1648–1649', 'impact': 'community destroyed; a few Jews remained', 'source': 'destruction of A. in the Chmielnicki disturbances of 1648-49'}]",
43,ALEKSANDROBOLIS,Rokiskis,Lithuania,,jews_present,1918,Ten J. families lived here in 1918,"[{'lang': 'yid', 'name': 'Alaksandrabal'}]",[],
44,ALEKSANDROW,Lodz,Poland,,jews_arrived,1818,Jews were among the first settlers in 1818,[],[],
45,ALEKSANDROW-KUJAWSKI,Warsaw,Poland,,jews_arrived,18LX,Jews settled in the late 19th cent.,[],[],
46,ALEKSIN,Tula,Russia,,jews_arrived,19EX,J. settlement probably commenced in the early 20th cent.,[],[],
47,ALESSANDRIA,Piedmont,Italy,,jews_arrived,1490,"dates from 1490, with the coming of Abraham Vitale de Sacerdoti",[],[],
48,ALEXANDRENI,Bessarabia,Rumania,Republic of Moldova,jews_arrived,18MX,Jews first settled in mid-19th cent.,[],[],
49,ALEXANDRIA,Kirovograd,Ukraine,,jews_arrived,17LX,Jews apparently settled in the late 18th cent.,[],[],
50,ALEXANDROPOULIS,Evrou,Greece,,community_present,19EX,There was a small J. community in the early 20th cent.,[],[],
51,ALEXANDROVKA,Kirovograd,Ukraine,,jews_arrived,17LX,Jews apparently arrived in the late 18th cent.,[],"[{'event': 'Pogrom (Denikin’s forces)', 'year': '1919-12', 'impact': '', 'source': ""In a Dec. 1919 pogrom, Anton Denikin's""}]",
52,ALKMAAR,Noord-Holland,Holland,,community_founded,1604,A shortlived Sephardi community was established in 1604,[],[],
53,ALLENDORF,Hesse-Nassau,Germany,,jews_present,16XX,Jews lived there in the 17th cent.,[],[],
54,ALLENDORF AN DER LUMDA,Hesse,Germany,,community_founded,1838,"Established around 1838, the community",[],[],
55,ALLENSTEIN,East Prussia,Germany,Poland,first_mention,1819,First evidence of a J. presence dates from 1819,"[{'lang': 'pol', 'name': 'Olsztyn'}]",[],
56,ALLERSHEIM,Lower Franconia,Germany,,jews_present,16MX,Jews are known from the mid-17th cent.,[],[],
57,ALMAZNAYA,Voroshilovgrad,Ukraine,,POP,,The J. pop. in 1939 was 165,[],[],
58,ALMELO,Overijssel,Holland,,jews_present,16MX,The J. presence dates back to the mid-17th cent.,[],[],
59,ALMOSD,Bihar,Hungary,,community_founded,17XX,The J. community was founded in the 18th cent.,[],[],
60,ALOVE,Alytus,Lithuania,,POP,,"In 1923, A. had 78 Jews.","[{'lang': 'yid', 'name': 'Alave'}]",[],
61,ALPEN,Rhineland,Germany,,jews_arrived,1714,Jews began settling under letters of protection in 1714,[],[],
62,ALPHEN AAN DE RIJN,Zuid-Holland,Holland,,jews_arrived,17XX,Jews settled there in the 18th cent.,[],[],
63,ALSBACH,Hesse,Germany,,jews_present,14XX,Some Jews lived there from the 15th cent.,[],[],
64,ALSEDZIAI,Telsiai,Lithuania,,jews_present,1662,Jews were living here in 1662.,"[{'lang': 'yid', 'name': 'Alshad'}]",[],
65,ALSENZ,Palatinate,Germany,,jews_present,1650,Two protected J. families were present in 1650.,[],[],
66,ALSFELD,Hesse,Germany,,jews_arrived,17LX,Jews returned in the late 18th cent.,[],"[{'event': 'Black Death persecutions', 'year': '1348–1349', 'impact': 'medieval community destroyed', 'source': 'fell victim to the Black Death persecutions of 1348-49'}]",
67,ALSHEIM,Hesse,Germany,,community_founded,1750,"The community, established in 1750",[],[],
68,ALSODABAS,Pest-Pilis-Solt-Kiskun,Hungary,,jews_arrived,17LX,Jews settled in the late 18th cent.,[],[],
69,ALSOSAG,Vas,Hungary,,jews_arrived,1746,A J. family settled in 1746,[],"[{'event': 'White Terror attacks', 'year': '1919', 'impact': 'seven Jews murdered', 'source': 'Seven Jews in the area were murdered in the White Terror attacks of 1919'}]",
70,ALSOZSOLCA,Borsod,Hungary,,POP,,The J. pop. was 75 in 1930.,[],[],
71,ALTDAMM,Pomerania,Germany,Poland,first_mention,1481,Letters of protection (Schutzbriefe) for nine Jews in 1481 constitute the first evidence,"[{'lang': 'pol', 'name': 'Dombie'}]",[],today part of Stettin
72,ALTDORF,Baden,Germany,,first_mention,15LX,Jews are first mentioned in the 1570s,[],[],
73,ALTENA,Westphalia,Germany,,jews_present,17MX,present in the mid-18th cent.,[],[],
74,ALTENBURG,Thuringia,Germany,,community_present,18XX,in the 19th cent. there is evidence of a thr...,[],"[{'event': 'Expulsion', 'year': '15XX', 'impact': 'Jews expelled', 'source': 'were expelled in the 15th cent.'}]",
75,ALTEN-BUSECK,Hesse,Germany,,jews_present,1776,"took so many Jews into their eight villages that the area became known as ""Little Palestine"" (1776)",[],[],
76,ALTENGRONAU,Hesse,Germany,,jews_present,1348–1349,Jews from Steinau took refuge there during the Black Death persecutions of 1348-49,[],"[{'event': 'Black Death persecutions', 'year': '1348–1349', 'impact': 'refugees from Steinau', 'source': 'took refuge there during the Black Death persecutions of 1348-49'}]",
77,ALTENKIRCHEN IM WESTERWALD,Rhineland,Germany,,jews_present,15XX,Ten J. families were present in the 16th cent.,[],"[{'event': 'Forced conversion or expulsion', 'year': '1648', 'impact': 'forced to convert or leave', 'source': 'In 1648, they were forced to convert or leave.'}]",
