גליונות,Main,הגליון המרכזי לעבודה
,names,גליון עם גרסאות שונות לשמות הישובים
,dist_codes,קודבוק לשמות המחוזות והמזהים שלהם
,years,גליון עם משתנים נוספים לאנליזה של שנת ההקמה
,region,חלוקה אדמיניסטרטיבית עבור שנים שונות
,,
,,
משתנים,,
1,line_id,"מספר רץ, מזהה יחודי לכל היישובים בקובץ"
2,code,"מזהה יחודי עבור הישובים, מורכב משם הפרובינציה, המחוז, ו-4 אותיות ראשונות של שם הישוב ללא עיצורים"
3,prov,פרובינציה
4,dist,מחוז
5,name,שם היישוב
6,presence_type,סוג המידע לגבי שנת ההקמה
7,year_code,"`XX` - טווח של מאה
`EX` - תחילת המאה
`LX` - סוף המאה
`MX` - אמצע"
8,upper_bound,השנה האחרונה עבורה בוודאות קיימת קהילה ביישוב
9,lower_bound,השנה הראשונה בה ייתכן שקיימת קהילה
10,mid_range,"אמצע טווח בין שני הערכים הנ""ל, מעוגל ל-5 שנים"
11,source,ציטוט מתוך האינציקלופדיה
12,ziv_yearcode,"כנ""ל, לפי הקובץ הקודם"
13,note,הערה מהקובץ של זיו
14,lon,קו אורך - EPSG:4326
15,lat,קו רוחב - EPSG:4326
16,area,איזור גיאוגראפי: Mainland Russia/ Galicia/Pale/Prussia
17,enc_name,שם היישוב באינציקלופדיה
18,enc_page,עמוד הערך באינצקילופדיה
19,entry_source,"מי חיבר את הערך (ZIV, SHN)"
20,geom_source,מקור לקואורדינטות
