line_id,code,jg_id,index_sht,prov,dist,name,presence_type,year_code,upper_bound,lower_bound,mid_range,source,ziv_yearcode,note,lon,lat,area,enc_name,enc_page,entry_source,geom_source
1,PSK_OST_PYTL,-2990437,3405Py1,Pskov,Ostrov,Pytalovo,POP,1935,1935,1935,1935,"The J. pop. in 1935 was 61 (total 1,242). All but a few fled to Soviet territory with the approach of the Germans in June 1941.",18LX,,27.9,57.06666667,Mainland Russia,ABRENE,19,Ziv,jg
2,SDL_LKV_ADMW,-492116,,Siedlce,Lukow,Adamów,jews_arrived,18XX,1900,1800,1850,"J. settlement commenced in the 19th cent. The J. pop. reached 494 in 1897 and 664 in 1921 (total 1,934). Between the World Wars the Zionists and their youth movements were active. The Germans arrived on 20 Sept. 1939, set",,,22.26666667,51.73333333,Congress Poland,ADAMOW,39,Shn,jg
3,CRL_GZN_GZNP,-3206643,1904Gz1,Courland,Gazenpot,Gazenpot,jews_arrived,15XX,1600,1500,1550,"Jews arrived in the 16th cent., mostly from the commercial towns of E. Prussia (Hamburg, Danzig, etc.). In 1751, the Polish parliament or Sejm authorized the constructionof a synagogue andthe establish",15EX,,21.6,56.71666667,Mainland Russia,AIZPUTE,24,Ziv,jg
4,KZN_AKH_AKHT,-1034035,4602Ak1,Kharkov,Akhtyrka,Akhtyrka,POP,1897,1897,1897,1897,"The J. pop. was 168 (total 23,399) in 1897 and 277 in 1939. A. was captured by the Germans on 18 Oct. 1941. By the end of the year, about 60 Jews were murdered in two Aktions.",18LX,,34.9,50.31666667,Mainland Russia,AKHTYRKA,25,Ziv,jg
5,KVN_NVL_OKNS,-3206682,1703Ok2,Kovno,Novoaleksandrovsk,Oknista,community_founded,18MX,1875,1850,1850,The J. settlement was founded in the mid-19th cent. and numbered 199 (total pop. 473) in 1935. Nearly all were murderedby the Germans in July 1941.,18MX,,25.75,56.16666667,Pale,AKNISTE,25,Ziv,jg
6,VLH_RVN_ALKS,-1034078,0811Al1,Volhynia,Rovno,Aleksandriia,first_mention,1648,1648,1648,1648,"A few Jews remained after the destruction of A. in the Chmielnicki disturbances of 1648-49. The community grew to 2,154 (total 3,189) in 1897 with the development of light industry and the building o",16EX,נחרבה עי חמילנצקי ושוקמה מאוחר יותר,26.35,50.73333333,Pale,ALEKSANDRIA,27,Ziv,jg
7,PTR_LDZ_ALSK,-492230,,Piotrkow,Lodz,Aleskandrów,jews_arrived,1818,1818,1818,1818,"Jews were among the first settlers in 1818, and after a few years a community was organized. Most were artisans and tradesmen who had incurred heavy debts, and it was only in 1909 that the synagogue was bu",,,19.3,51.81666667,Congress Poland,ALEKSANDROW,27,Shn,jg
8,WRS_NSH_ALKS,-492229,,Warszawa,Nieszawa,Aleksandrów,jews_arrived,18LX,1900,1875,1875,"Jews settled in the late 19th cent., numbering 286in 1897. By 1939 there were about 1,200 Jews (10% of the total). After the Germans occupied the town (Sept. 1939), the Jews were expelled in two waves (Sept.",,,18.7,52.86666667,Congress Poland,ALEKSANDROW-KUJAWSKI,28,Shn,jg
9,BSS_BLT_ALKS,-2275979,0304Al1,Bessarabia,Bieltsy,Aleksandreny,jews_arrived,18MX,1875,1850,1850,"Jews first settled in mid-19th cent. By 1897, 1,190 Jews constituted 95% of the total pop. of this J. agricultural settlement. Jews grew corn and later tobacco. A J. school opened early in t",18MX,מושבה חקלאית יהודית,28.06666667,47.8,Pale,ALEXANDRENI,28,Ziv,jg
10,KHR_ALK_ALKS,-1049208,4702Al1,Kherson,Aleksandriia,Aleksandriia,jews_arrived,17LX,1800,1775,1775,"Jews apparently settledin the late 18th cent. andnumbered 3,735 (total14,007)in 1897. Jewsmainly traded in farm produce (including grain) and worked as tailors. They were victimized by pogroms in 1882; in",1648,"נהרסה עי חמילנצקי, נבנתה מחדש במאה ה 19",33.11666667,48.66666667,Pale,ALEXANDRIA,27,Ziv,jg
