prov_index,prov_abbr,dist_index,dist_abbr,prov,dist
3,BSS,1,KSH,Bessarabia,Kishinev
3,BSS,2,AKK,Bessarabia,Akkerman
3,BSS,3,BND,Bessarabia,Bendery
3,BSS,4,BLT,Bessarabia,Bieltsy
3,BSS,5,IZM,Bessarabia,Izmail
3,BSS,6,ORG,Bessarabia,Orgieev
3,BSS,7,SRK,Bessarabia,Soroki
3,BSS,8,KHT,Bessarabia,Khotin
4,VLN,1,VLN,Vilna,Vilnius
4,VLN,2,VLK,Vilna,Vileika
4,VLN,3,DSN,Vilna,Disna
4,VLN,4,LDA,Vilna,Lida
4,VLN,5,OSH,Vilna,Oshmiany
4,VLN,6,SVN,Vilna,Sventsiany
4,VLN,7,TRK,Vilna,Troki
5,VTB,1,VTB,Vitebsk,Vitebsk
5,VTB,2,VLZ,Vitebsk,Velizh
5,VTB,3,GRD,Vitebsk,Gorodok
5,VTB,4,DVN,Vitebsk,Dvinsk
5,VTB,5,DRS,Vitebsk,Drissa
5,VTB,6,LPL,Vitebsk,Lepel
5,VTB,7,LTS,Vitebsk,Liutsin
5,VTB,8,NVL,Vitebsk,Nevel
5,VTB,9,PLT,Vitebsk,Polotsk
5,VTB,10,RZH,Vitebsk,Riezhitsa
5,VTB,11,SBZ,Vitebsk,Sebezh
8,VLH,1,ZHT,Volhynia,Zhitomir
8,VLH,2,VLD,Volhynia,Vladimir-Volynskii
8,VLH,3,DBN,Volhynia,Dubno
8,VLH,4,ZSL,Volhynia,Zaslavl
8,VLH,5,KVL,Volhynia,Kovel
8,VLH,6,KRM,Volhynia,Kremenets
8,VLH,7,LTS,Volhynia,Lutsk
8,VLH,8,NVG,Volhynia,Novograd-Volynskii
8,VLH,9,OVR,Volhynia,Ovruch
8,VLH,10,OST,Volhynia,Ostrog
8,VLH,11,RVN,Volhynia,Rovno
8,VLH,12,STR,Volhynia,Starokonstantinov
9,VRN,1,VRN,Voronezh,Voronezh
