line_id,jg_id,ejl_line,name,enc_name,jg_name,name1900,name1930,name1945
1,-2990437,8,Pytalovo,ABRENE,Pytalovo,Pytalovo,Jaunlatgale,Abrene
2,-492116,14,Adamów,ADAMOW,Adamow,Adamów,Adamów,Adamów
3,-3206643,31,Gazenpot,AIZPUTE,Aizpute,Gazenpot,Aizpute,Aizpute
4,-1034035,34,Akhtyrka,AKHTYRKA,Okhtyrka,Akhtyrka,Akhtyrka,Akhtyrka
5,-3206682,36,Oknista,AKNISTE,Akniste,Oknista,Aknīste,Aknīste
6,-1034078,42,Aleksandriia,ALEKSANDRIA,Oleksandriya,Aleksandriya,Aleksandria,Aleksandriya
7,-492230,44,Aleskandrów,ALEKSANDROW,Aleksandrow Lodzki,Aleskandrów,Aleskandrów,Aleksandrów
8,-492229,45,Aleksandrów,ALEKSANDROW-KUJAWSKI,Aleksandrow Kujawski,Aleksandrów,Aleksandrów Kujawski,Aleksandrów Kujawski
9,-2275979,48,Aleksandreny,ALEXANDRENI,Alexandreni,Aleksandreny,Alexăndreni,Aleksandreny
10,-1049208,49,Aleksandriia,ALEXANDRIA,Oleksandriya,Aleksandriya,Alexandria,Aleksandria
11,-1049206,51,Aleksandrovka,ALEXANDROVKA,Oleksandrivka,Aleksandrovka,Alexandrovka,Aleksandrovka
12,-519859,55,Allenstein,ALLENSTEIN,Olsztyn,Allenstein,Allenstein,Olsztyn
13,-2612619,60,Olava,ALOVE,Alove,Olava,Alovė,Alovė
14,-2612624,64,Olsiady,ALSEDZIAI,Alsedziai,Olsiadi,Alsėdžiai,Alsėdžiai
15,-498582,71,Altdamm,ALTDAMM,Dabie,Altdamm,Altdamm,Dąbie
16,-1034270,83,Altynovka,ALTINOVKA,Altynivka,Altynovka,Altinovka,Altynovka
17,-3206721,88,Aluksna,ALUKSNE,Aluksne,Marienburg,Alūksne,Alūksne
18,-2612570,89,Ovanta,ALUNTA,Alanta,Ovanta,Alunta,Alanta
19,-1034285,101,Ananev,ANANEV,Ananyiv,Ananyev,Ananyev,Ananyev
20,-1034396,108,Andrushovka,ANDRUSHEVKA,Andrushivka,Andrushevka,Andrushevka,Andrushevka
21,-492267,109,Andrychów,ANDRYCHOW,Andrychow,Andrychów,Andrychów,Andrychów
22,-492271,110,Andruseevo,ANDRZEJEWO,Andrzejewo,Andrzejewo,Andrzejewo,Andrzejewo
23,-492280,111,Andrzejów,ANDRZEJOW,Andrzejow,Andrzejów,Andrzejów,Andrzejów
24,-534627,113,Angerburg,ANGERBURG,Wegorzewo,Angerburg,Angerburg,Węgorzewo
25,-1740551,116,Anklam,ANKLAM,Anklam,Anklam,Anklam,Anklam
26,-1034425,118,Annopol,ANNOPOL,Annopol,Annopol',Annopol',Annopol'
27,-492321,119,Annopol,ANNOPOL-RACHOW,Annopol,Annopol,Annopol,Annopol
28,-2612699,124,Antanava,ANTANAVAS,Antanava,Antonowo,Antanavas,Antanavas
29,-1034469,125,Antoniny,ANTONINY,Antoniny,Antoniny,Antoniny,Antoniny
30,-149302,126,Antonovka,ANTONOVKA,,,,
31,-1034509,127,Antonovka,ANTONOWKA,Antonivka,Antonovka,Antonówka,Antonovka
32,-2612735,130,Onikshty,ANYKSCIAI,Anyksciai,Onikshty,Anykščiai,Anykščiai
33,-3206808,135,Appengof,APE,Ape,,Ape,Ape
34,-1034540,140,Pokrovskoe,APOSTOLOVO,Apostolove,Pokrovs'ke,Apostolovo,Apostolovo
35,-1034623,147,Staro-Artsiz,ARCIZ,Artsyz,Artsiz,Arciz,Artsiz
36,-2612768,152,Eirogola,ARIOGALA,Ariogala,Ariogala,Ariogala,Ariogala
37,-1034582,155,Armianskii bazar,ARMYIANSK,Armyans'k,Armyanskiy Bazar,Armiansk,Armyansk
38,-1034612,163,Bakhmut,ARTIOMOVSK,Artemivs'k,Bakhmut,Artiomovsk,Artëmovsk
39,-3206918,178,Autse,AUCE,Auce,Autz,Auce,Auce
40,-492452,183,Avgustov,AUGUSTOW,Augustow,Augustów,Augustów,Augustów
41,-2612835,184,Vysokii dvor,AUKSTADVARIS,Aukstadvaris,Vysokiĭ Dvor,Aukštadvaris,Aukštadvaris
42,-2612858,185,Poniemov,AUKSTOJI-PANEMUNE,Aukstoji Panemune,Poniemoń,Aukštoji Panemunė,Aukštoji Panemunė
43,-492476,187,Aurelów,AURELOW,Aurelow,Aurelów,Aurelów,Aurelów
44,-2612904,192,Debova Buda,AZUOLU BUDA,Azuolu Buda,Dębowa Buda,Ąžuolų Būda,Ąžuolų Būda
45,-1034731,194,Babanka,BABENKA,Babanka,Babanka,Babanka,Babanka
46,-492488,195,Babiak,BABIAK,Babiak,Babiak,Babiak,Babiak
47,-1940990,196,Babinovichi,BABINOVICHI,Babinovichi,Babinovichi,Babinovichi,Babinovichi
48,-2612928,198,Bobty,BABTAI,Babtai,Bobty,Babtai,Bobty
49,-492601,210,Baczki,BACZKI,Baczki,Baczki,Baczki,Baczki
50,-523032,230,Polzin,BAD POLZIN,Polczyn Zdroj,Polzin,Bad Polzin,Połczyn-Zdrój
51,-1941110,240,Baevo,BAEVO,Bayevo,Bayevo,Bayevo,Bayevo
2625,,248,Baineti,BAINETI,Kolonia Izaaka,Kolonia Izaaka,Kolonia Izaaka,
52,-2612966,250,Beisagola,BAISOGALA,Baisogala,Beisagola,Baisogala,Baisogala
53,-492685,253,Bakalarzhevo,BAKALARZEWO,Bakalarzewo,Bakałarzewo,Bakałarzewo,Bakałarzewo
54,-1034817,254,Bakhchisarai,BAKHCHISARAY,Bakhchysaray,Bakhchisaray,Bakhchisaray,Bakhchisaray
55,-1034820,255,Bakhmach,BAKHMACH,Bakhmach,Bakhmach,Bakhmach,Bakhmach
56,-1941013,256,Bakshty,BAKSZTY,Bakshty,Bakshty,Bakszty,Bakshty
57,-1034851,258,Balabanovka,BALABANOVKA,Balabanivka,Balabanovka,Balabanovka,Balabanovka
2650,-1151714,259,Balaceana,BALACEANA,Balaceana,Balaczana,Bălăceana,Bălăceana
58,-1034856,260,Balaklava,BALAKLAVA,Balaklava,Balaklava,Balaklava,Balaklava
59,-2612996,265,Balverzhishki,BALBIERISKIS,Balbieriskis,Balwierzyszki,Balbieriškis,Balbieriškis
60,-492736,267,Baligród,BALIGROD,Baligrod,Baligród,Baligród,Baligród
61,-1034883,269,Balin,BALLIN,Balin,Balin,Balin,Balin
62,-2613022,271,Bolniki,BALNINKAI,Balninkai,Bolniki,Balninkai,Balninkai
63,-1034900,272,Balta,BALTA,Balta,Balta,Balta,Balta
64,-2276030,273,Beltsy,BALTI,Balti,Bieltsy,Bălţi,Bel'tsy
2668,-1034916,275,Banyliv,BANILA PE CEREMUS,Banyliv,Rus-Banila,Banila pe Ceremus,Banilov
2641,-1034915,276,Banyliv Pidhirnyi,BANILA PE SIRET,Banyliv Pidhirnyi,Banila am Sereth,Bănila pe Siret,Banilov
65,-1034926,281,Bar,BAR,Bar,Bar,Bar,Bar
66,-1941033,285,Baran,BARAN,Baran',Baran',Baran',Baran'
67,-492818,288,Baranów,BARANOW (I),Baranow Sandomierski,Baranów,Baranów,Baranów
68,-492799,289,Baranów,BARANOW (II),Baranow,Baranów,Baranów,Baranów
69,-1941035,290,Baranovichi,BARANOWICZE,Baranavichy,Baranovichi,Baranowicze,Baranavichi
70,-1034965,291,Barashi,BARASHI,Barashi,Barashi,Barashi,Barashi
71,-2613110,303,Barstichai,BARSTYCIAI,Barstyciai,Barstichyay,Barstyčiai,Barstyčiai
72,-492966,304,Bartenstein,BARTENSTEIN,Bartoszyce,Bartenstein,Bartenstein,Bartoszyce
73,-2613121,305,Bartniki,BARTININKAI,Bartininkai,Bartniki,Bartininkai,Bartininkai
74,-1035000,306,Barysz,BARYSZ,Barysh,Barysz,Barysz,Barysh
75,-1035001,307,Baryshevka,BARYSZEVKA,Baryshivka,Baryshevka,Baryshevka,Baryshevka
76,-2613151,312,Botoki,BATAKIAI,Batakiai,Botoki,Batakiai,Batakiai
77,-1035044,317,Batiatycze,BATIATYCZE,Batyatychi,Batiatycze,Batiatycze,Batyatychi
78,-3207144,326,Bausk,BAUSKA,Bauska,Bausk,Bauska,Bauska
79,-1035073,330,Bazaliia,BAZALIYA,Bazaliya,Bazaliya,Bazaliya,Bazaliya
80,-1035076,331,Bazar,BAZAR,Bazar,Bazar,Bazar,Bazar
81,-2617318,332,Podubis,BAZILIONAI,Padubysys,Podubis,Bazilionai,Bazilionai
82,-1941121,345,Begoml,BEGOML,Begoml,Begoml,Begoml,Begoml
83,-1035624,357,Bielaia Tserkov,BELAYA TSERKOW,Bila Tserkva,Belaya Tserkov,Belaya Tserkov,Belaya Tserkov
84,-2883907,359,Bielev,BELEV,Belev,Belev,Belev,Belev
85,-493427,361,Belgard,BELGARD,Bialogard,Belgard,Belgard,Białogard
86,-1035165,364,Bielilovka,BELILOVKA,Bilylivka,Belilovka,Belilovka,Belilovka
87,-493112,366,Bełchatów,BELKHATOW,Belchatow,Bełchatów,Bełchatów,Bełchatów
88,-1035197,368,Bielogorodka,BELOGORODKA,Bilohorodka,Bielogorodka,Belogorodka,Belogorodka
89,-1035228,369,Bielopole,BELOPOLYE,Belopol'ye,Belopol'ye,Belopol'ye,Belopol'ye
90,-2884636,373,Bielyi,BELYI,Belyy,Belyy,Belyy,Belyy
91,-1941219,374,Bielynichi,BELYNICHI,Byalynichy,Belynichi,Belynichi,Belynichi
92,-1035317,375,Belz,BELZ,Belz,Belz,Bełz,Belz
93,-493153,377,Bełżyce,BELZHYCE,Belzyce,Bełżyce,Bełżyce,Bełżyce
94,-493057,379,Będków,BENDKOW,Bedkow,Będków,Będków,Będków
95,-493096,381,Bendzin,BENDZIN,,,,
96,-1035347,392,Berdichev,BERDICHEV,Berdychiv,Berdichev,Berdichev,Berdichev
97,-1035372,398,Berestechko,BERESTECZKO,Berestechko,Berestechko,Beresteczko,Berestechko
98,-1035406,402,Berezdov,BEREZDOV,Berezdiv,Berezdov,Berezdov,Berezdov
