line_id,code,jg_id,ejl_line,name,dist,prov,area,region,prov1900,prov1930,jg_dist,jg_dist1930,country1900,country1930
1,PSK_OST_PYTL,-2990437,8,Pytalovo,Ostrov,Pskov,Mainland Russia,Latgale,Pskov,Latgale,Ostrov,Abrene,Russian Empire,Soviet Union
2,SDL_LKV_ADMW,-492116,14,Adamów,Lukow,Siedlce,Congress Poland,Lublin,Siedlce,Lublin,Lukov,Łuków,Russian Empire,Poland
3,CRL_GZN_GZNP,-3206643,31,Gazenpot,Gazenpot,Courland,Mainland Russia,Courland,Courland,Kurzeme,Gazenpot,Aizpute,Russian Empire,Soviet Union
4,KZN_AKH_AKHT,-1034035,34,Akhtyrka,Akhtyrka,Kharkov,Mainland Russia,Sumy,Kharkov,Ukraine SSR,Akhtyrka,Sumy,Russian Empire,Soviet Union
5,KVN_NVL_OKNS,-3206682,36,Oknista,Novoaleksandrovsk,Kovno,Pale,Zemgale,Kovno,Zemgale,Novoaleksandrovsk,Ilūkste,Russian Empire,Soviet Union
6,VLH_RVN_ALKS,-1034078,42,Aleksandriia,Rovno,Volhynia,Pale,Volhynia,Volhynia,Wołyń,Rovno,Równe,Russian Empire,Soviet Union
7,PTR_LDZ_ALSK,-492230,44,Aleskandrów,Lodz,Piotrkow,Congress Poland,Lodz,Piotrków,Łódż,Lodz',Łódź,Russian Empire,Poland
8,WRS_NSH_ALKS,-492229,45,Aleksandrów,Nieszawa,Warszawa,Congress Poland,Warsaw,Warszawa,Warszawa,Neshava,Nieszawa,Russian Empire,Poland
9,BSS_BLT_ALKS,-2275979,48,Aleksandreny,Bieltsy,Bessarabia,Pale,Bessarabia,Bessarabia,Basarabia,Bieltsy,Bălţi,Russian Empire,Soviet Union
10,KHR_ALK_ALKS,-1049208,49,Aleksandriia,Aleksandriia,Kherson,Pale,Kirovograd,Kherson,Ukraine SSR,Aleksandriia,Kirovograd,Russian Empire,Soviet Union
11,KIV_CHG_ALKS,-1049206,51,Aleksandrovka,Chigirin,Kiev,Pale,Kirovograd,Kiev,Ukraine SSR,Chigirin,Kirovograd,Russian Empire,Soviet Union
12,PRU_OST_ALLN,-519859,55,Allenstein,Olsztyn,Preussen,Prussia,East Prussia,Preußen,Preußen,Ostpreußen,Ostpreußen,,Poland
13,VLN_TRK_OLV,-2612619,60,Olava,Troki,Vilna,Pale,Alytus,Vilna,,Troki,Alytus,,Soviet Union
