line_id,code,prov,dist,name,ziv_yearcode,year_code,upper_bound,lower,mid_range,source,note,cen,approx_code
1,PSK_OST_PYTL,Pskov,Ostrov,Pytalovo,18LX,1935,1935,1935,1935,"The J. pop. in 1935 was 61 (total 1,242). All but a few fled to Soviet territory with the approach of the Germans in June 1941.",,1900,
2,SDL_LKV_ADMW,Siedlce,Lukow,Adamów,,18XX,1900,1800,1850,"J. settlement commenced in the 19th cent. The J. pop. reached 494 in 1897 and 664 in 1921 (total 1,934). Between the World Wars the Zionists and their youth movements were active. The Germans arrived on 20 Sept. 1939, set",,1800,XX
3,CRL_GZN_GZNP,Courland,Gazenpot,Gazenpot,15EX,15XX,1600,1500,1550,"Jews arrived in the 16th cent., mostly from the commercial towns of E. Prussia (Hamburg, Danzig, etc.). In 1751, the Polish parliament or Sejm authorized the constructionof a synagogue andthe establish",,1500,XX
4,KZN_AKH_AKHT,Kharkov,Akhtyrka,Akhtyrka,18LX,1897,1897,1897,1897,"The J. pop. was 168 (total 23,399) in 1897 and 277 in 1939. A. was captured by the Germans on 18 Oct. 1941. By the end of the year, about 60 Jews were murdered in two Aktions.",,1800,
5,KVN_NVL_OKNS,Kovno,Novoaleksandrovsk,Oknista,18MX,18MX,1875,1850,1850,The J. settlement was founded in the mid-19th cent. and numbered 199 (total pop. 473) in 1935. Nearly all were murderedby the Germans in July 1941.,,1800,MX
6,VLH_RVN_ALKS,Volhynia,Rovno,Aleksandriia,16EX,1648,1648,1648,1648,"A few Jews remained after the destruction of A. in the Chmielnicki disturbances of 1648-49. The community grew to 2,154 (total 3,189) in 1897 with the development of light industry and the building o",נחרבה עי חמילנצקי ושוקמה מאוחר יותר,1600,
7,PTR_LDZ_ALSK,Piotrkow,Lodz,Aleskandrów,,1818,1818,1818,1818,"Jews were among the first settlers in 1818, and after a few years a community was organized. Most were artisans and tradesmen who had incurred heavy debts, and it was only in 1909 that the synagogue was bu",,1800,
8,WRS_NSH_ALKS,Warszawa,Nieszawa,Aleksandrów,,18LX,1900,1875,1875,"Jews settled in the late 19th cent., numbering 286in 1897. By 1939 there were about 1,200 Jews (10% of the total). After the Germans occupied the town (Sept. 1939), the Jews were expelled in two waves (Sept.",,1800,LX
9,BSS_BLT_ALKS,Bessarabia,Bieltsy,Aleksandreny,18MX,18MX,1875,1850,1850,"Jews first settled in mid-19th cent. By 1897, 1,190 Jews constituted 95% of the total pop. of this J. agricultural settlement. Jews grew corn and later tobacco. A J. school opened early in t",מושבה חקלאית יהודית,1800,MX
10,KHR_ALK_ALKS,Kherson,Aleksandriia,Aleksandriia,1648,17LX,1800,1775,1775,"Jews apparently settledin the late 18th cent. andnumbered 3,735 (total14,007)in 1897. Jewsmainly traded in farm produce (including grain) and worked as tailors. They were victimized by pogroms in 1882; in","נהרסה עי חמילנצקי, נבנתה מחדש במאה ה 19",1700,LX
