code,id,name,enc_name,enc_page
KHR_AKH_OKHT,-1034035,Okhtyrka,AKHTYRKA,25
VLH_RVN_OLKS,-1034078,Oleksandriya,ALEKSANDRIA,27
MRM_MRM_OLKS,-1034137,Oleksandrivka,SANDROVO,1132
CHR_KRL_ALTY,-1034270,Altynivka,ALTINOVKA,34
DNV_TGN_AMVR,-1034281,Amvrosiyivka,DONETSKO-AMVROSIEVKA,323
KHR_ANN_ANNY,-1034285,Ananyiv,ANANEV,42
VLH_ZHT_ANDR,-1034396,Andrushivka,ANDRUSHEVKA,44
VLH_OST_ANNP,-1034425,Annopol,ANNOPOL,46
VLH_ZSL_ANTN,-1034469,Antoniny,ANTONINY,47
VLH_RVN_ANTN,-1034509,Antonivka,ANTONOWKA,48
KHR_KHR_APST,-1034540,Apostolove,APOSTOLOVO,52
TRD_PRK_ARMY,-1034582,Armyans'k,ARMYIANSK,55
GLC_ZLK_ARTS,-1034594,Artasiv,,
EKT_BKH_ARTM,-1034612,Artemivs'k,ARTIOMOVSK,56
BSS_AKK_ARTS,-1034623,Artsyz,ARCIZ,54
TRD_ALS_ASKN,-1034632,Askaniya Nova,ASKINYIA NOVA,58
BSS_KHT_ATKY,-1034644,Ataky,,
KV_UMN_BBNK,-1034731,Babanka,BABENKA,67
TRD_SMF_BKHC,-1034817,Bakhchysaray,BAKHCHISARAY,80
CHR_KNT_BKHM,-1034820,Bakhmach,BAKHMACH,80
CHR_KNT_BKHM2,-1034820,Bakhmach,BAKHMACH,80
KV_LPV_BLBN,-1034851,Balabanivka,BALABANOVKA,80
TRD_SVS_BLKL,-1034856,Balaklava,BALAKLAVA,80
PDL_KMN_BLN,-1034883,Balin,BALLIN,82
PDL_BLT_BLT,-1034900,Balta,BALTA,82
BKV_STR_BNYL,-1034915,Banyliv Pidhirnyi,BANILA PE SIRET,84
BKV_WZN_BNYL,-1034916,Banyliv,BANILA PE CEREMUS,84
GLC_KLM_BNYB,-1034922,Banya Bereziv,,
PDL_MGL_BR,-1034926,Bar,BAR,86
VLH_NVG_BRNV,-1034958,Baranivka,,
VLH_ZHT_BRSH,-1034965,Barashi,BARASHI,88
VLH_DBN_BRML,-1034974,Baremel,BOREMEL,172
GLC_BRD_BRYL,-1034975,Baryliv,,
GLC_BCZ_BRYS,-1035000,Barysh,BARYSZ,91
PLT_PRS_BRYS,-1035001,Baryshivka,BARYSZEVKA,91
CHR_KNT_BTRY,-1035043,Baturyn,,
GLC_ZLK_BTYT,-1035044,Batyatychi,BATIATYCZE,92
VLH_STR_BZLY,-1035073,Bazaliya,BAZALIYA,95
VLH_OVR_BZR,-1035076,Bazar,BAZAR,95
MRM_MRM_BDVL,-1035089,Bedevlya,BEDEVLA,97
KV_BRD_BLYL,-1035165,Bilylivka,BELILOVKA,102
KRP_BRG_BLKY,-1035186,Bilky,BILKY,149
VLH_ZSL_BLHR,-1035197,Bilohorodka,BELOGORODKA,104
TRD_SMF_BLHR,-1035201,Bilohirs'k,KARASUBAZAR,595
VLH_OST_BLHR,-1035206,Bilohirya,LAKHOVTSY,701
KV_BRD_BLPL,-1035228,Belopol'ye,BELOPOLYE,104
KHR_SMY_BLPL,-1035229,Bilopillya,BIELOPOLIE,145
PLT_KHR_BLTS,-1035246,Bilotserkivka,,
GLC_NDW_BLOS,-1035311,Bili Oslavy,OSLAW BIALY,946
GLC_ZLC_BLYK,-1035313,Bilyi Kamin,BIALY KAMIEN,138
GLC_SKL_BLZ,-1035317,Belz,BELZ,104
TRD_BRD_BRDY,-1035337,Berdyansk,OSIPENKO,946
KV_BRD_BRDY,-1035347,Berdychiv,BERDICHEV,112
KRP_BRG_VLYK,-1035355,Velyki Berehy,BEREHY,113
BKV_WZN_BRHM,-1035358,Berehomet,BERHOMETE PRE SIRET,116
KRP_BRG_BRHV,-1035365,Berehove,,
VLH_DBN_BRST,-1035372,Berestechko,BERESTECZKO,51
VLH_OVR_BRST,-1035380,Berestovets,,
PLT_PRS_BRZN,-1035399,Berezan,,
VLH_NVG_BRZD,-1035406,Berezdiv,BEREZDOV,114
GLC_BBR_BRZD,-1035407,Berezdivtsi,BRZOZDOWCE,207
GLC_BRZ_BRZH,-1035414,Berezhany,BRZEZANY,206
VLH_LTS_BRZH,-1035427,Berezhnytsia,BEREZNICA,116
CHR_CHR_BRZN,-1035445,Berezna,BEREZNA,114
KHR_KHR_BRZN,-1035449,Bereznehuvate,BEREZNEGOVATOE,115
MRM_MRM_BRZN,-1035452,Bereznyky,,
VLH_RVN_BRZN,-1035456,Berezne,BEREZNE,115
KHR_ANN_BRZV,-1035476,Berezivka,BEREZOVKA,116
MRM_MRM_BRZV,-1035512,Berezovo,BEREZOVO,116
KHR_KHR_BRYS,-1035528,Beryslav,BERISLAV,117
PDL_OLG_BRSH,-1035538,Bershad,BERSHAD,133
KV_VSL_BLTS,-1035624,Bila Tserkva,BELAYA TSERKOW,99
GLC_ZLS_BLCH,-1035628,Bil'che Zolote,BILCZE ZLOTE,149
BSS_AKK_BLHR,-1035629,Bilhorod Dnistrovskyy,CETATEA-ALBA,240
GLC_TRK_BTLY,-1035671,Bitlya,BUTLA,225
KHR_ODS_BLHY,-1035719,Blahoyeve,BLAGOEVO,155
